DU 80-141
1.00000000 0.00000000
0.99881940 0.00062430
0.99545410 0.00235990
0.99042510 0.00474240
0.98380520 0.00752300
0.97552370 0.01035670
0.96532530 0.01312860
0.95310200 0.01601880
0.93895800 0.01913070
0.92301860 0.02244240
0.90534350 0.02590890
0.88598710 0.02954970
0.86505390 0.03338930
0.84267300 0.03742190
0.81896380 0.04162300
0.79406520 0.04598720
0.76811680 0.05046280
0.74124760 0.05501510
0.71359890 0.05960670
0.68336440 0.06512610
0.65450680 0.06969720
0.62526050 0.07410610
0.59574960 0.07830310
0.56610400 0.08222070
0.53641000 0.08579680
0.50675990 0.08899890
0.47729220 0.09176410
0.44805050 0.09401850
0.41909740 0.09575770
0.39053990 0.09698190
0.36247240 0.09765440
0.33494960 0.09775200
0.30803590 0.09728790
0.28182590 0.09626670
0.25639020 0.09470400
0.23180820 0.09262560
0.20817030 0.09001110
0.18552110 0.08687230
0.16391340 0.08326900
0.14343230 0.07922290
0.12413350 0.07475840
0.10609330 0.06991640
0.08936800 0.06470730
0.07396900 0.05915530
0.05993480 0.05333020
0.04730620 0.04727920
0.03611370 0.04104850
0.02639400 0.03469830
0.01813830 0.02828320
0.00613480 0.01577490
0.00255490 0.00973860
0.00049380 0.00397960
0.00000000 0.00000000
0.00006160 -0.00128230
0.00148610 -0.00599990
0.00493840 -0.01014600
0.01055730 -0.01388950
0.01826740 -0.01747930
0.02791600 -0.02094130
0.03938860 -0.02420520
0.05263580 -0.02722750
0.06760160 -0.02998300
0.08425250 -0.03244740
0.10254880 -0.03467550
0.12241490 -0.03657540
0.14373550 -0.03830380
0.16641220 -0.03984640
0.19036390 -0.04100000
0.21546810 -0.04190800
0.24161040 -0.04262130
0.26868330 -0.04304530
0.29657710 -0.04305990
0.32516280 -0.04284410
0.35431610 -0.04232570
0.38392520 -0.04133810
0.41388030 -0.04001320
0.44405360 -0.03825100
0.47431190 -0.03601770
0.50450750 -0.03325810
0.53455110 -0.02966050
0.56471220 -0.02497670
0.59537530 -0.01939700
0.62678200 -0.01313710
0.65909350 -0.00685460
0.69970200 0.00110000
0.73147740 0.00467920
0.76254330 0.00675890
0.79251830 0.00815350
0.82112730 0.00899040
0.84820590 0.00929010
0.87354780 0.00905590
0.89691970 0.00833310
0.91809710 0.00722120
0.93692960 0.00589080
0.95328090 0.00446530
0.96714450 0.00319800
0.97863140 0.00215180
0.98772520 0.00126360
0.99436520 0.00058540
0.99856610 0.00015260
1.00000000 0.00000000
