MS3/15GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000509
     0.993201    0.001720
     0.980131    0.004093
     0.964123    0.007063
     0.947569    0.010188
     0.930748    0.013394
     0.913781    0.016653
     0.896878    0.019948
     0.880014    0.023304
     0.863166    0.026740
     0.846322    0.030258
     0.829441    0.033859
     0.812481    0.037527
     0.795521    0.041204
     0.778614    0.044850
     0.761718    0.048463
     0.744829    0.052034
     0.727958    0.055558
     0.711106    0.059020
     0.694267    0.062411
     0.677414    0.065734
     0.660542    0.068992
     0.643673    0.072182
     0.626830    0.075292
     0.610037    0.078302
     0.593291    0.081186
     0.576560    0.083938
     0.559840    0.086551
     0.543130    0.089015
     0.526439    0.091322
     0.509774    0.093456
     0.493119    0.095410
     0.476452    0.097183
     0.459769    0.098778
     0.443088    0.100196
     0.426433    0.101421
     0.409803    0.102437
     0.393156    0.103240
     0.376464    0.103842
     0.359757    0.104255
     0.343077    0.104476
     0.326453    0.104495
     0.309919    0.104289
     0.293471    0.103826
     0.277038    0.103095
     0.260592    0.102103
     0.244185    0.100856
     0.227833    0.099340
     0.211525    0.097549
     0.195312    0.095483
     0.179327    0.093121
     0.163598    0.090394
     0.148065    0.087242
     0.132708    0.083641
     0.117572    0.079583
     0.102729    0.075043
     0.088265    0.069990
     0.074264    0.064397
     0.060813    0.058253
     0.048227    0.051707
     0.037025    0.044973
     0.027549    0.038257
     0.019973    0.031932
     0.014228    0.026303
     0.009985    0.021398
     0.006863    0.017116
     0.004544    0.013358
     0.002800    0.010036
     0.001502    0.007045
     0.000597    0.004279
     0.000097    0.001672
     0.000027   -0.000849
     0.000449   -0.003403
     0.001453   -0.005996
     0.003022   -0.008497
     0.005138   -0.010935
     0.007842   -0.013378
     0.011273   -0.015906
     0.015691   -0.018585
     0.021509   -0.021464
     0.029303   -0.024565
     0.039603   -0.027811
     0.052408   -0.031027
     0.066967   -0.033955
     0.082547   -0.036486
     0.098607   -0.038613
     0.114931   -0.040344
     0.131518   -0.041754
     0.148289   -0.042919
     0.165123   -0.043866
     0.181987   -0.044599
     0.198914   -0.045141
     0.215914   -0.045533
     0.232968   -0.045799
     0.250050   -0.045954
     0.267154   -0.046002
     0.284272   -0.045954
     0.301385   -0.045809
     0.318480   -0.045563
     0.335556   -0.045217
     0.352613   -0.044768
     0.369648   -0.044213
     0.386654   -0.043548
     0.403646   -0.042764
     0.420648   -0.041854
     0.437697   -0.040827
     0.454815   -0.039706
     0.471972   -0.038514
     0.489140   -0.037261
     0.506307   -0.035946
     0.523466   -0.034570
     0.540626   -0.033131
     0.557800   -0.031636
     0.574993   -0.030087
     0.592209   -0.028496
     0.609448   -0.026872
     0.626699   -0.025224
     0.643942   -0.023565
     0.661169   -0.021904
     0.678382   -0.020246
     0.695581   -0.018597
     0.712758   -0.016961
     0.729904   -0.015349
     0.747018   -0.013773
     0.764100   -0.012246
     0.781150   -0.010781
     0.798174   -0.009386
     0.815191   -0.008070
     0.832175   -0.006842
     0.849123   -0.005725
     0.866088   -0.004722
     0.883040   -0.003832
     0.900012   -0.003060
     0.917070   -0.002376
     0.934149   -0.001730
     0.951064   -0.001094
     0.967237   -0.000553
     0.981583   -0.000304
     0.993395   -0.000366
     1.000000   -0.000508

1.000031-->1.00  + supression : dans titre JCE22/05/20006
