E392  (10.15%)               
   1.00000  0.00000
   0.99676  0.00056
   0.98727  0.00233
   0.97208  0.00537
   0.95169  0.00949
   0.92641  0.01440
   0.89649  0.01996
   0.86230  0.02615
   0.82432  0.03289
   0.78311  0.04006
   0.73922  0.04751
   0.69325  0.05505
   0.64581  0.06247
   0.59751  0.06954
   0.54900  0.07592
   0.50073  0.08119
   0.45301  0.08506
   0.40613  0.08736
   0.36037  0.08800
   0.31598  0.08694
   0.27316  0.08429
   0.23222  0.08027
   0.19359  0.07509
   0.15765  0.06889
   0.12476  0.06181
   0.09525  0.05401
   0.06938  0.04565
   0.04738  0.03690
   0.02942  0.02799
   0.01564  0.01913
   0.00607  0.01068
   0.00080  0.00315
   0.00065 -0.00254
   0.00631 -0.00696
   0.01756 -0.01090
   0.03413 -0.01407
   0.05588 -0.01641
   0.08268 -0.01793
   0.11428 -0.01870
   0.15039 -0.01879
   0.19060 -0.01829
   0.23449 -0.01728
   0.28155 -0.01583
   0.33122 -0.01398
   0.38297 -0.01175
   0.43632 -0.00920
   0.49071 -0.00646
   0.54559 -0.00370
   0.60029 -0.00112
   0.65408  0.00113
   0.70625  0.00296
   0.75608  0.00432
   0.80289  0.00516
   0.84603  0.00549
   0.88489  0.00533
   0.91889  0.00474
   0.94753  0.00377
   0.97031  0.00254
   0.98677  0.00129
   0.99669  0.00035
   1.00000  0.00000
