MID 114  (c)Slobodan Midic F1B,E models Re~40k Trip Top 30% Botom 5% 
     1.000000    0.006376
     0.990492    0.008590
     0.970266    0.013215
     0.947609    0.018204
     0.924119    0.023164
     0.900557    0.027914
     0.876916    0.032462
     0.853260    0.036788
     0.829582    0.040889
     0.805893    0.044753
     0.782156    0.048381
     0.758326    0.051791
     0.734346    0.055020
     0.710239    0.058110
     0.685998    0.061088
     0.661708    0.063990
     0.637451    0.066784
     0.613181    0.069480
     0.588966    0.072052
     0.564741    0.074495
     0.540510    0.076809
     0.516264    0.078994
     0.492023    0.081051
     0.467847    0.082960
     0.443857    0.084674
     0.420093    0.086106
     0.396484    0.087203
     0.373047    0.087905
     0.349523    0.088190
     0.325857    0.088125
     0.302220    0.087709
     0.278570    0.086954
     0.255087    0.085843
     0.231753    0.084328
     0.208651    0.082383
     0.185929    0.079938
     0.163631    0.076915
     0.141885    0.073232
     0.120815    0.068806
     0.100636    0.063558
     0.081607    0.057411
     0.063608    0.050159
     0.046315    0.041763
     0.031329    0.033170
     0.019855    0.025152
     0.011925    0.018555
     0.006882    0.013479
     0.003647    0.009369
     0.001583    0.005889
     0.000385    0.002824
     0.000009    0.000081
     0.000458   -0.002541
     0.001917   -0.005050
     0.004484   -0.007027
     0.008225   -0.008237
     0.013360   -0.009071
     0.020645   -0.009592
     0.031522   -0.009566
     0.046785   -0.008471
     0.065388   -0.005855
     0.086552   -0.001960
     0.109805    0.002115
     0.133617    0.006101
     0.157645    0.009959
     0.181632    0.013705
     0.205355    0.017204
     0.228939    0.020402
     0.252578    0.023289
     0.276304    0.025901
     0.300157    0.028252
     0.324059    0.030376
     0.347882    0.032238
     0.371607    0.033804
     0.395213    0.035026
     0.418916    0.035895
     0.442833    0.036475
     0.466953    0.036827
     0.491220    0.037012
     0.515527    0.037055
     0.539800    0.036957
     0.563976    0.036692
     0.588146    0.036237
     0.612285    0.035599
     0.636474    0.034764
     0.660754    0.033774
     0.685074    0.032645
     0.709406    0.031397
     0.733649    0.030021
     0.757772    0.028488
     0.781748    0.026758
     0.805596    0.024790
     0.829387    0.022554
     0.853141    0.020047
     0.876846    0.017265
     0.900527    0.014203
     0.924130    0.010873
     0.947646    0.007269
     0.970324    0.003523
     0.990534   -0.000050
     1.000000   -0.001815

http://groups.yahoo.com/group/xfoil/files
