EH 3.0/12
  1.00000  0.00000
  0.99000  0.00070
  0.98000  0.00162
  0.97000  0.00264
  0.95000  0.00481
  0.92500  0.00769
  0.90000  0.01073
  0.87500  0.01389
  0.85000  0.01716
  0.82500  0.02055
  0.80000  0.02406
  0.77500  0.02766
  0.75000  0.03135
  0.72500  0.03512
  0.70000  0.03896
  0.67500  0.04285
  0.65000  0.04676
  0.60000  0.05459
  0.55000  0.06228
  0.50000  0.06964
  0.45000  0.07639
  0.40000  0.08216
  0.35000  0.08659
  0.30000  0.08917
  0.27500  0.08958
  0.25000  0.08931
  0.22500  0.08824
  0.20000  0.08627
  0.17500  0.08328
  0.15000  0.07911
  0.12500  0.07357
  0.10000  0.06641
  0.07500  0.05727
  0.05000  0.04554
  0.03500  0.03675
  0.02500  0.02982
  0.02000  0.02589
  0.01500  0.02156
  0.01250  0.01923
  0.01000  0.01674
  0.00750  0.01400
  0.00500  0.01094
  0.00400  0.00958
  0.00250  0.00732
  0.00200  0.00648
  0.00150  0.00557
  0.00100  0.00455
  0.00050  0.00328
  0.00000  0.00095
  0.00050 -0.00240
  0.00100 -0.00356
  0.00150 -0.00445
  0.00200 -0.00521
  0.00250 -0.00587
  0.00300 -0.00646
  0.00400 -0.00746
  0.00500 -0.00829
  0.00750 -0.00995
  0.01000 -0.01126
  0.01250 -0.01237
  0.01500 -0.01336
  0.02000 -0.01505
  0.02500 -0.01650
  0.03500 -0.01887
  0.05000 -0.02122
  0.07500 -0.02361
  0.10000 -0.02507
  0.12500 -0.02604
  0.15000 -0.02675
  0.17500 -0.02739
  0.20000 -0.02803
  0.22500 -0.02867
  0.25000 -0.02931
  0.27500 -0.02995
  0.30000 -0.03059
  0.35000 -0.03187
  0.40000 -0.03315
  0.45000 -0.03403
  0.50000 -0.03415
  0.55000 -0.03380
  0.60000 -0.03275
  0.65000 -0.03089
  0.67500 -0.02965
  0.70000 -0.02821
  0.72500 -0.02656
  0.75000 -0.02470
  0.77500 -0.02265
  0.80000 -0.02044
  0.82500 -0.01812
  0.85000 -0.01570
  0.87500 -0.01321
  0.90000 -0.01064
  0.92500 -0.00803
  0.95000 -0.00538
  0.97000 -0.00323
  0.98000 -0.00216
  0.99000 -0.00108
  1.00000  0.00000
