MH 50	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft   
1.00000 0.00000	   
0.99982 0.00001	   
0.99929 0.00002	   
0.99839 0.00004	   
0.99713 0.00008	   
0.99552 0.00014	   
0.99357 0.00021	   
0.99126 0.00030	   
0.98860 0.00042	   
0.98560 0.00058	   
0.98227 0.00078	   
0.97860 0.00099	   
0.97460 0.00126	   
0.97028 0.00157	   
0.96565 0.00191	   
0.96071 0.00231	   
0.95546 0.00275	   
0.94992 0.00324	   
0.94409 0.00378	   
0.93798 0.00436	   
0.93160 0.00501	   
0.92496 0.00571	   
0.91808 0.00646	   
0.91095 0.00726	   
0.90361 0.00810	   
0.89606 0.00898	   
0.88832 0.00987	   
0.88036 0.01077	   
0.87221 0.01167	   
0.86385 0.01257	   
0.85530 0.01347	   
0.84655 0.01436	   
0.83760 0.01524	   
0.82846 0.01613	   
0.81913 0.01699	   
0.80961 0.01784	   
0.79991 0.01869	   
0.79003 0.01953	   
0.77997 0.02036	   
0.76974 0.02118	   
0.75937 0.02201	   
0.74885 0.02283	   
0.73819 0.02364	   
0.72738 0.02443	   
0.71643 0.02522	   
0.70538 0.02600	   
0.69420 0.02676	   
0.68291 0.02751	   
0.67151 0.02826	   
0.66002 0.02899	   
0.64844 0.02972	   
0.63678 0.03042	   
0.62505 0.03111	   
0.61326 0.03177	   
0.60140 0.03241	   
0.58949 0.03303	   
0.57753 0.03364	   
0.56555 0.03423	   
0.55353 0.03478	   
0.54148 0.03530	   
0.52942 0.03581	   
0.51735 0.03628	   
0.50527 0.03673	   
0.49320 0.03714	   
0.48113 0.03753	   
0.46909 0.03789	   
0.45707 0.03820	   
0.44508 0.03848	   
0.43311 0.03872	   
0.42118 0.03894	   
0.40930 0.03912	   
0.39747 0.03927	   
0.38571 0.03939	   
0.37401 0.03948	   
0.36239 0.03954	   
0.35085 0.03956	   
0.33940 0.03955	   
0.32804 0.03952	   
0.31678 0.03945	   
0.30563 0.03934	   
0.29460 0.03920	   
0.28369 0.03903	   
0.27291 0.03882	   
0.26225 0.03858	   
0.25173 0.03832	   
0.24137 0.03803	   
0.23115 0.03769	   
0.22109 0.03733	   
0.21119 0.03694	   
0.20147 0.03652	   
0.19192 0.03606	   
0.18255 0.03557	   
0.17336 0.03506	   
0.16437 0.03451	   
0.15557 0.03393	   
0.14698 0.03331	   
0.13858 0.03268	   
0.13041 0.03201	   
0.12245 0.03132	   
0.11471 0.03059	   
0.10719 0.02983	   
0.09989 0.02905	   
0.09283 0.02823	   
0.08601 0.02740	   
0.07942 0.02653	   
0.07308 0.02564	   
0.06699 0.02472	   
0.06115 0.02378	   
0.05556 0.02280	   
0.05022 0.02180	   
0.04514 0.02077	   
0.04031 0.01972	   
0.03575 0.01865	   
0.03144 0.01755	   
0.02740 0.01645	   
0.02361 0.01533	   
0.02009 0.01420	   
0.01684 0.01306	   
0.01387 0.01192	   
0.01117 0.01079	   
0.00876 0.00965	   
0.00665 0.00851	   
0.00483 0.00735	   
0.00333 0.00619	   
0.00210 0.00500	   
0.00117 0.00378	   
0.00051 0.00254	   
0.00012 0.00128	   
0.00000 0.00000	   
0.00012 -0.00127	   
0.00051 -0.00253	   
0.00117 -0.00377	   
0.00211 -0.00498	   
0.00335 -0.00616	   
0.00489 -0.00733	   
0.00671 -0.00847	   
0.00884 -0.00961	   
0.01126 -0.01075	   
0.01397 -0.01189	   
0.01696 -0.01303	   
0.02022 -0.01415	   
0.02376 -0.01529	   
0.02756 -0.01641	   
0.03163 -0.01753	   
0.03595 -0.01862	   
0.04054 -0.01970	   
0.04538 -0.02075	   
0.05048 -0.02179	   
0.05584 -0.02280	   
0.06144 -0.02378	   
0.06730 -0.02474	   
0.07341 -0.02567	   
0.07976 -0.02658	   
0.08636 -0.02746	   
0.09320 -0.02832	   
0.10027 -0.02915	   
0.10757 -0.02996	   
0.11510 -0.03072	   
0.12286 -0.03146	   
0.13084 -0.03218	   
0.13903 -0.03287	   
0.14743 -0.03352	   
0.15603 -0.03416	   
0.16484 -0.03476	   
