HN-973 F3J  Norbert Habbe
1.000000	0.000000		
0.999013	0.000168		
0.996057	0.000734		
0.991144	0.001714		
0.984292	0.003139		
0.975528	0.004950		
0.964888	0.007054		
0.952414	0.009417		
0.938153	0.011940		
0.922164	0.014646		
0.904508	0.017526		
0.885257	0.020558		
0.864484	0.023717		
0.842274	0.026959		
0.818712	0.030256		
0.793893	0.033562
0.767913	0.036849
0.740877	0.040076
0.712890	0.043224
0.684062	0.046245
0.654508	0.049127
0.624345	0.051841
0.593691	0.054348
0.562667	0.056650
0.531395	0.058707
0.500000	0.060500
0.468605	0.061986
0.437333	0.063149
0.406309	0.063967
0.375655	0.064417
0.345492	0.064505
0.315938	0.064185
0.287110	0.063480
0.259123	0.062359
0.232087	0.060833
0.206107	0.058908
0.181288	0.056586
0.157726	0.053876
0.135516	0.050805
0.114743	0.047373
0.095492	0.043620
0.077836	0.039571
0.061847	0.035268
0.047586	0.030753
0.035112	0.026063
0.024472	0.021257
0.015708	0.016454
0.008856	0.011756
0.003943	0.007271
0.000987	0.003357
0.000000	0.000000
0.000987	-0.002683
0.003943	-0.005181
0.008856	-0.007684
0.015708	-0.009968
0.024472	-0.012101
0.035112	-0.014049
0.047586	-0.015723
0.061847	-0.017168
0.077836	-0.018357
0.095492	-0.019308
0.114743	-0.020039
0.135516	-0.020533
0.157726	-0.020840
0.181288	-0.020946
0.206107	-0.020872
0.232087	-0.020639
0.259123	-0.020253
0.287110	-0.019742
0.315938	-0.019107
0.345492	-0.018357
0.375655	-0.017517
0.406309	-0.016583
0.437333	-0.015569
0.468605	-0.014486
0.500000	-0.013324
0.531395	-0.012081
0.562667	-0.010716
0.593691	-0.009232
0.624345	-0.007657
0.654508	-0.006067
0.684062	-0.004527
0.712890	-0.003072
0.740877	-0.001736
0.767913	-0.000541
0.793893	0.000490
0.818712	0.001346
0.842274	0.002027
0.864484	0.002531
0.885257	0.002852
0.904508	0.003006
0.922164	0.002996
0.938153	0.002840
0.952414	0.002557
0.964888	0.002166
0.975528	0.001706			
0.984292	0.001217			
0.991144	0.000746			
0.996057	0.000356			
0.999013	0.000092			
1.000000	0.000000			
Profilbeiwerte				
Profildicke(d):	8.33	%		
Dickenrcklage(xd):	30.14	%		
Profilwlbung(f):	2.38	%		
Wlbungsrcklage(xf):	43.73	%		
Momentenbeiwert(cm0):	-0.0891			
Nullauftrieb(a0):	-3.3514			
Stofreier	Eintritt:	0.364		
Ca	bei	stofreiem	Eintritt:	0.4074
Auftriebsanstieg:	6.6982			
Neutralpunktlage:	25.62	%
Profiltyp:	Profil	
