NM28  pour la vitesse (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-f3f/nm28.html
 1.00000     0.00009
 0.97553     0.00276
 0.94298     0.00636
 0.90367     0.01055
 0.85888     0.01529
 0.80992     0.02035
 0.75810     0.02551
 0.70473     0.03078
 0.65113     0.03587
 0.59857     0.04050
 0.54835     0.04455
 0.50134     0.04795
 0.45744     0.05070
 0.41651     0.05288
 0.37835     0.05449
 0.34282     0.05552
 0.30972     0.05604
 0.27890     0.05607
 0.25018     0.05562
 0.22337     0.05473
 0.19831     0.05339
 0.17491     0.05167
 0.15313     0.04957
 0.13295     0.04716
 0.11433     0.04445
 0.09728     0.04150
 0.08176     0.03834
 0.06775     0.03503
 0.05523     0.03162
 0.04419     0.02815
 0.03461     0.02469
 0.02641     0.02130
 0.01953     0.01799
 0.01385     0.01480
 0.00931     0.01178
 0.00579     0.00897
 0.00317     0.00637
 0.00141     0.00398
 0.00041     0.00179
 0.00000    -0.00012
 0.00057    -0.00210
 0.00201    -0.00398
 0.00433    -0.00572
 0.00755    -0.00743
 0.01173    -0.00907
 0.01698    -0.01064
 0.02335    -0.01212
 0.03089    -0.01353
 0.03973    -0.01486
 0.04988    -0.01609
 0.06144    -0.01723
 0.07442    -0.01826
 0.08884    -0.01917
 0.10473    -0.01994
 0.12212    -0.02059
 0.14104    -0.02109
 0.16150    -0.02146
 0.18353    -0.02167
 0.20715    -0.02173
 0.23239    -0.02162
 0.25930    -0.02132
 0.28786    -0.02087
 0.31811    -0.02026
 0.35009    -0.01948
 0.38380    -0.01853
 0.41929    -0.01745
 0.45655    -0.01623
 0.49564    -0.01488
 0.53653    -0.01337
 0.57928    -0.01174
 0.62366    -0.01001
 0.66935    -0.00827
 0.71604    -0.00656
 0.76344    -0.00489
 0.81122    -0.00323
 0.85909    -0.00180
 0.90671    -0.00071
 0.95379    -0.00006
 1.00000    -0.00008

http://kipecoul.e-monsite.com/pages/profil-f3f/nm28.html
