MID 153a  for F1B, F1G and others (c) Slobodan Midic
     1.000000    0.002268
     0.996573    0.002965
     0.989522    0.004435
     0.979861    0.006507
     0.968864    0.008936
     0.956905    0.011641
     0.944478    0.014485
     0.932044    0.017315
     0.919752    0.020055
     0.907550    0.022696
     0.895343    0.025246
     0.883091    0.027719
     0.870796    0.030121
     0.858459    0.032453
     0.846086    0.034720
     0.833705    0.036916
     0.821324    0.039043
     0.808951    0.041093
     0.796580    0.043065
     0.784183    0.044965
     0.771773    0.046795
     0.759354    0.048552
     0.746917    0.050238
     0.734466    0.051854
     0.722007    0.053401
     0.709535    0.054877
     0.697053    0.056286
     0.684570    0.057624
     0.672068    0.058895
     0.659553    0.060099
     0.647037    0.061236
     0.634510    0.062307
     0.621967    0.063314
     0.609436    0.064255
     0.596902    0.065131
     0.584338    0.065946
     0.571770    0.066700
     0.559216    0.067392
     0.546646    0.068021
     0.534054    0.068595
     0.521475    0.069110
     0.508892    0.069565
     0.496298    0.069965
     0.483692    0.070309
     0.471077    0.070601
     0.458471    0.070838
     0.445848    0.071023
     0.433219    0.071158
     0.420608    0.071241
     0.407993    0.071273
     0.395350    0.071254
     0.382712    0.071191
     0.370109    0.071077
     0.357532    0.070914
     0.344991    0.070693
     0.332483    0.070413
     0.320006    0.070071
     0.307564    0.069662
     0.295163    0.069184
     0.282818    0.068631
     0.270529    0.067999
     0.258277    0.067278
     0.246048    0.066469
     0.233867    0.065570
     0.221736    0.064575
     0.209656    0.063483
     0.197651    0.062286
     0.185709    0.060980
     0.173854    0.059563
     0.162109    0.058026
     0.150465    0.056363
     0.138951    0.054567
     0.127594    0.052637
     0.116415    0.050562
     0.105470    0.048344
     0.094833    0.045976
     0.084552    0.043446
     0.074668    0.040746
     0.065236    0.037874
     0.056225    0.034810
     0.047618    0.031550
     0.039509    0.028151
     0.032036    0.024704
     0.025504    0.021423
     0.020193    0.018530
     0.016031    0.016066
     0.012772    0.013989
     0.010215    0.012254
     0.008183    0.010781
     0.006540    0.009506
     0.005190    0.008373
     0.004069    0.007340
     0.003131    0.006379
     0.002349    0.005470
     0.001700    0.004603
     0.001169    0.003775
     0.000746    0.002975
     0.000421    0.002203
     0.000190    0.001452
     0.000050    0.000751
    -0.000001    0.000077
     0.000037   -0.000588
     0.000173   -0.001258
     0.000419   -0.001917
     0.000789   -0.002576
     0.001285   -0.003213
     0.001909   -0.003813
     0.002665   -0.004389
     0.003553   -0.004956
     0.004576   -0.005530
     0.005754   -0.006119
     0.007116   -0.006731
     0.008704   -0.007368
     0.010572   -0.008036
     0.012785   -0.008723
     0.015442   -0.009400
     0.018701   -0.010047
     0.022781   -0.010658
     0.027904   -0.011196
     0.034246   -0.011599
     0.041945   -0.011807
     0.050902   -0.011790
     0.060842   -0.011538
     0.071628   -0.011072
     0.083084   -0.010449
     0.094941   -0.009717
     0.106954   -0.008906
     0.118967   -0.008016
     0.131046   -0.007035
     0.143277   -0.005968
     0.155644   -0.004832
     0.168115   -0.003644
     0.180647   -0.002420
     0.193227   -0.001158
     0.205870    0.000130
     0.218563    0.001441
     0.231265    0.002763
     0.243986    0.004102
     0.256747    0.005454
     0.269524    0.006813
     0.282326    0.008177
     0.295154    0.009546
     0.308009    0.010914
     0.320894    0.012281
     0.333784    0.013641
     0.346663    0.014989
     0.359518    0.016321
     0.372351    0.017632
     0.385171    0.018923
     0.397958    0.020188
     0.410718    0.021425
     0.423458    0.022630
     0.436171    0.023798
     0.448862    0.024927
     0.461532    0.026015
     0.474175    0.027057
     0.486794    0.028048
     0.499393    0.028988
     0.511972    0.029871
     0.524527    0.030696
     0.537055    0.031459
     0.549562    0.032156
     0.562048    0.032782
     0.574522    0.033339
     0.586973    0.033821
     0.599389    0.034225
     0.611791    0.034548
     0.624169    0.034787
     0.636522    0.034938
     0.648860    0.035001
     0.661182    0.034973
     0.673480    0.034850
     0.685771    0.034630
     0.698070    0.034314
     0.710366    0.033902
     0.722663    0.033394
     0.734964    0.032791
     0.747267    0.032092
     0.759563    0.031300
     0.771846    0.030412
     0.784142    0.029427
     0.796451    0.028350
     0.808738    0.027178
     0.821027    0.025913
     0.833329    0.024554
     0.845629    0.023105
     0.857917    0.021565
     0.870210    0.019935
     0.882506    0.018215
     0.894808    0.016404
     0.907118    0.014505
     0.919422    0.012518
     0.931728    0.010446
     0.944017    0.008298
     0.956281    0.006083
     0.968326    0.003849
     0.979550    0.001721
     0.989453   -0.000190
     0.996610   -0.001588
     1.000000   -0.002260

modif tracfoil  ->1.000000  Slobodan Midic xfoil@yahoogroups.com
