  SD8040 (10%)
  1.00000  0.0
  0.99667  0.00037
  0.98684  0.00162
  0.97093  0.00397
  0.94946  0.00748
  0.92299  0.01208
  0.89205  0.01757
  0.85717  0.02369
  0.81881  0.03018
  0.77739  0.03675
  0.73331  0.04321
  0.68699  0.04942
  0.63893  0.05527
  0.58966  0.06060
  0.53969  0.06530
  0.48953  0.06925
  0.43970  0.07233
  0.39070  0.07444
  0.34300  0.07552
  0.29706  0.07550
  0.25332  0.07434
  0.21218  0.07201
  0.17398  0.06850
  0.13903  0.06386
  0.10761  0.05814
  0.07994  0.05144
  0.05620  0.04389
  0.03653  0.03565
  0.02099  0.02694
  0.00967  0.01809
  0.00271  0.00938
  0.00004  0.00101
  0.00157 -0.00582
  0.00845 -0.01097
  0.02120 -0.01542
  0.03925 -0.01911
  0.06241 -0.02202
  0.09046 -0.02413
  0.12317 -0.02546
  0.16023 -0.02609
  0.20125 -0.02610
  0.24576 -0.02558
  0.29326 -0.02456
  0.34324 -0.02311
  0.39513 -0.02130
  0.44836 -0.01921
  0.50232 -0.01690
  0.55640 -0.01445
  0.60999 -0.01193
  0.66249 -0.00943
  0.71327 -0.00704
  0.76174 -0.00487
  0.80726 -0.00301
  0.84921 -0.00153
  0.88700 -0.00044
  0.92010  0.00026
  0.94803  0.00062
  0.97036  0.00064
  0.98668  0.00044
  0.99665  0.00014
  1.00000  0.00000
