HS 1.7/9
   1.000000  0.000000
   0.950000  0.008190
   0.900000  0.015630
   0.850000  0.022610
   0.800000  0.029210
   0.750000  0.035370
   0.700000  0.041030
   0.650000  0.046120
   0.600000  0.050570
   0.550000  0.054160
   0.500000  0.057290
   0.450000  0.059590
   0.400000  0.061050
   0.350000  0.061680
   0.300000  0.061340
   0.250000  0.059830
   0.200000  0.056830
   0.150000  0.051880
   0.100000  0.044090
   0.050000  0.031800
   0.025000  0.022330
   0.012500  0.015360
   0.005000  0.009100
   0.000000  0.000000
   0.005000 -0.006470
   0.012500 -0.010120
   0.025000 -0.014040
   0.050000 -0.018950
   0.100000 -0.024250
   0.150000 -0.026940
   0.200000 -0.028280
   0.250000 -0.028760
   0.300000 -0.028640
   0.350000 -0.028040
   0.400000 -0.027050
   0.450000 -0.025710
   0.500000 -0.024010
   0.550000 -0.021820
   0.600000 -0.019000
   0.650000 -0.015690
   0.700000 -0.012190
   0.750000 -0.008740
   0.800000 -0.005530
   0.850000 -0.002740
   0.900000 -0.000650
   0.950000 -0.000570
   1.000000 -0.000000

 l'origine il est utilis en F3B (en particulier par
l'quipe Genvrin Legou sur les Autans) et il a aussi t utilis en dure
vitesse avec un certain succs il y a quelques annes par le club des 5A.
J'ai moi mme un ancien F3B de 1991 classe inter quip de ce profil et j'en
suis fort satisfait. Sans avoir jamais fait de bases j'avais termin 12 me
au Glandon en F3F en 96
Alexis.AGUTTES@interieur.gouv.fr
10/01/03
