NM41-3 Re allant de 90 000  50 000 (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-f3j/nm-41.html
 1.00000     0.00044
 0.99413     0.00123
 0.98226     0.00287
 0.96882     0.00474
 0.95517     0.00657
 0.94145     0.00831
 0.92775     0.00998
 0.91402     0.01159
 0.90028     0.01317
 0.88653     0.01470
 0.87278     0.01622
 0.85905     0.01770
 0.84531     0.01916
 0.83159     0.02057
 0.81787     0.02196
 0.80417     0.02332
 0.79048     0.02464
 0.77680     0.02594
 0.76312     0.02722
 0.75793     0.02770
 0.75383     0.02808
 0.75178     0.02826
 0.74666     0.02876
 0.73642     0.02974
 0.72265     0.03105
 0.71226     0.03203
 0.69499     0.03361
 0.68109     0.03486
 0.66721     0.03609
 0.65607     0.03709
 0.65054     0.03759
 0.63950     0.03859
 0.62568     0.03982
 0.61400     0.04084
 0.59815     0.04220
 0.58445     0.04333
 0.57077     0.04445
 0.55990     0.04531
 0.55110     0.04600
 0.54322     0.04660
 0.52954     0.04762
 0.51585     0.04862
 0.50209     0.04959
 0.48828     0.05053
 0.47442     0.05143
 0.46049     0.05230
 0.44649     0.05313
 0.43243     0.05393
 0.41830     0.05468
 0.40417     0.05539
 0.39011     0.05604
 0.37615     0.05664
 0.36227     0.05719
 0.34846     0.05767
 0.33472     0.05809
 0.32105     0.05844
 0.30742     0.05871
 0.29382     0.05891
 0.28020     0.05902
 0.26652     0.05903
 0.25279     0.05895
 0.23901     0.05876
 0.22517     0.05845
 0.21128     0.05800
 0.19735     0.05741
 0.18336     0.05665
 0.16933     0.05571
 0.15529     0.05454
 0.14128     0.05314
 0.12733     0.05146
 0.11346     0.04949
 0.09976     0.04718
 0.08633     0.04452
 0.07335     0.04151
 0.06083     0.03810
 0.04870     0.03423
 0.03715     0.02984
 0.02655     0.02499
 0.01755     0.01996
 0.01093     0.01525
 0.00662     0.01127
 0.00372     0.00812
 0.00181     0.00555
 0.00084     0.00325
 0.00025     0.00128
 0.00005    -0.00032
 0.00059    -0.00182
 0.00132    -0.00346
 0.00277    -0.00491
 0.00545    -0.00588
 0.00912    -0.00727
 0.01404    -0.00928
 0.02106    -0.01072
 0.03013    -0.01171
 0.04091    -0.01283
 0.05291    -0.01344
 0.06551    -0.01381
 0.07856    -0.01395
 0.09220    -0.01391
 0.10638    -0.01371
 0.12091    -0.01340
 0.13552    -0.01301
 0.15011    -0.01257
 0.16466    -0.01208
 0.17917    -0.01156
 0.19362    -0.01103
 0.20800    -0.01049
 0.22220    -0.00996
 0.23637    -0.00944
 0.25049    -0.00894
 0.26460    -0.00845
 0.27869    -0.00796
 0.29279    -0.00748
 0.30690    -0.00701
 0.32104    -0.00655
 0.33519    -0.00611
 0.34938    -0.00567
 0.36358    -0.00523
 0.37783    -0.00480
 0.39211    -0.00438
 0.40637    -0.00395
 0.42066    -0.00354
 0.43492    -0.00313
 0.44916    -0.00272
 0.46338    -0.00232
 0.47758    -0.00192
 0.49175    -0.00153
 0.50589    -0.00114
 0.52003    -0.00076
 0.53416    -0.00039
 0.54828    -0.00002
 0.55591     0.00017
 0.56560     0.00041
 0.57599     0.00068
 0.58952     0.00100
 0.60305     0.00131
 0.60944     0.00145
 0.61671     0.00161
 0.63034     0.00189
 0.64396     0.00216
 0.65376     0.00236
 0.66278     0.00254
 0.67117     0.00271
 0.68478     0.00296
 0.69839     0.00319
 0.71335     0.00341
 0.72519     0.00357
 0.73850     0.00373
 0.74419     0.00379
 0.74998     0.00385
 0.75396     0.00390
 0.75857     0.00394
 0.76549     0.00400
 0.77893     0.00409
 0.79233     0.00416
 0.80573     0.00420
 0.81927     0.00422
 0.83281     0.00420
 0.84635     0.00414
 0.85991     0.00405
 0.87346     0.00392
 0.88701     0.00374
 0.90058     0.00352
 0.91417     0.00325
 0.92779     0.00292
 0.94142     0.00251
 0.95509     0.00201
 0.96877     0.00141
 0.98222     0.00069
 0.99412    -0.00004
 1.00000    -0.00043

http://kipecoul.e-monsite.com/pages/profil-f3j/nm-41.html
modif .099999 -> 1.00000
