MH31  Martin Hepperle	
1.000000	0.000000
0.996640	0.000250
0.986810	0.001130
0.971040	0.002850
0.949840	0.005370
0.923670	0.008580
0.892990	0.012260
0.858160	0.016230
0.819560	0.020310
0.777550	0.024400
0.732590	0.028470
0.685190	0.032440
0.635900	0.036250
0.585280	0.039800
0.533880	0.043010
0.482270	0.045800
0.431020	0.048110
0.380680	0.049850
0.331810	0.050960
0.284920	0.051360
0.240490	0.050980
0.198970	0.049780
0.160740	0.047690
0.126130	0.044680
0.095420	0.040780
0.068820	0.036030
0.046520	0.030470
0.028570	0.024220
0.015020	0.017430
0.005780	0.010420
0.000870	0.003690
0.000120	0.001230
0.000000	-0.000200
0.000220	-0.001450
0.000900	-0.002590
0.002030	-0.003760
0.006200	-0.006690
0.017170	-0.011500
0.033070	-0.015910
0.053830	-0.019720
0.079320	-0.022860
0.109350	-0.025310
0.143690	-0.027070
0.182010	-0.028170
0.223940	-0.028650
0.269050	-0.028570
0.316880	-0.027980
0.366900	-0.026970
0.418570	-0.025600
0.471300	-0.023930
0.524510	-0.022060
0.577570	-0.020030
0.629870	-0.017920
0.680800	-0.015790
0.729760	-0.013690
0.776150	-0.011660
0.819420	-0.009750
0.859020	-0.007980
0.894480	-0.006360
0.925330	-0.004890
0.951180	-0.003540
0.971740	-0.002220
0.986970	-0.000970
0.996640	-0.000210
1.000000	0.000000
Thickness: 7.99% 
Well suited for 20% chord flaps. 
Can be used at Reynoldsnumbers of 150'000 and above. 
At Reynoldsnumbers below 150'000, a turbulator should be placed at 75% chord. 
