NM SPatz SAUMON  30% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/profil-avec-extrados-et-intrados-plat.html	
 1.00000     0.00753
 0.90561     0.01905
 0.82232     0.02940
 0.74776     0.03863
 0.68097     0.04681
 0.62096     0.05406
 0.56678     0.06050
 0.51746     0.06626
 0.47206     0.07142
 0.42997     0.07592
 0.39077     0.07967
 0.35401     0.08260
 0.31926     0.08465
 0.28607     0.08576
 0.25402     0.08591
 0.22267     0.08511
 0.19203     0.08337
 0.16250     0.08070
 0.13449     0.07713
 0.10843     0.07266
 0.08473     0.06725
 0.06381     0.06088
 0.04610     0.05352
 0.03178     0.04536
 0.02057     0.03681
 0.01215     0.02817
 0.00621     0.01984
 0.00242     0.01237
 0.00046     0.00524
 0.00000     0.00086
 0.00086    -0.00375
 0.00251    -0.00726
 0.00542    -0.01106
 0.01000    -0.01549
 0.01671    -0.01956
 0.02598    -0.02343
 0.03825    -0.02688
 0.05391    -0.02978
 0.07280    -0.03203
 0.09452    -0.03369
 0.11862    -0.03484
 0.14471    -0.03560
 0.17236    -0.03601
 0.20115    -0.03613
 0.23067    -0.03604
 0.26089    -0.03574
 0.29213    -0.03522
 0.32475    -0.03442
 0.35909    -0.03333
 0.39548    -0.03192
 0.43429    -0.03016
 0.47585    -0.02808
 0.52115    -0.02566
 0.57240    -0.02282
 0.63194    -0.01950
 0.70213    -0.01562
 0.78530    -0.01110
 0.88381    -0.00587
 1.00000     0.00001

 http://kipecoul.e-monsite.com/pages/profil-vieille-plume/profil-avec-extrados-et-intrados-plat.html	 
Modif 0.99859 -> 1.00000
