HN-832TA Planeur>3.5m  Norbert Habbe
1.00000	0.00000		
0.99901	0.00018		
0.99606	0.00076		
0.99114	0.00178		
0.98429	0.00329		
0.97553	0.00525		
0.96489	0.00758		
0.95241	0.01022		
0.93815	0.01309		
0.92216	0.01621		
0.90451	0.01958		
0.88526	0.02317		
0.86448	0.02694		
0.84227	0.03086		
0.81871	0.03488		
0.79389	0.03897
0.76791	0.04308
0.74088	0.04716
0.71289	0.05118
0.68406	0.05509
0.65451	0.05884
0.62435	0.06241
0.59369	0.06575
0.56267	0.06883
0.53140	0.07162
0.50000	0.07406
0.46861	0.07614
0.43733	0.07781
0.40631	0.07905
0.37566	0.07983
0.34549	0.08015
0.31594	0.07995
0.28711	0.07926
0.25912	0.07804
0.23209	0.07632
0.20611	0.07408
0.18129	0.07133
0.15773	0.06808
0.13552	0.06435
0.11474	0.06017
0.09549	0.05555
0.07784	0.05055
0.06185	0.04519
0.04759	0.03953
0.03511	0.03362
0.02447	0.02753
0.01571	0.02140
0.00886	0.01538
0.00394	0.00962
0.00099	0.00450
0.00000	0.00000
0.00099	-0.00369
0.00394	-0.00765
0.00886	-0.01150
0.01571	-0.01529
0.02447	-0.01884
0.03511	-0.02212
0.04759	-0.02512
0.06185	-0.02785
0.07784	-0.03025
0.09549	-0.03228
0.11474	-0.03396
0.13552	-0.03527
0.15773	-0.03624
0.18129	-0.03686
0.20611	-0.03715
0.23209	-0.03713
0.25912	-0.03681
0.28711	-0.03622
0.31594	-0.03538
0.34549	-0.03430
0.37566	-0.03301
0.40631	-0.03153
0.43733	-0.02988
0.46861	-0.02810
0.50000	-0.02618
0.53140	-0.02417
0.56267	-0.02205
0.59369	-0.01985
0.62435	-0.01761
0.65451	-0.01536
0.68406	-0.01316
0.71289	-0.01103
0.74088	-0.00902
0.76791	-0.00713
0.79389	-0.00540
0.81871	-0.00385
0.84227	-0.00249
0.86448	-0.00133
0.88526	-0.00038
0.90451	0.00037
0.92216	0.00089
0.93815	0.00122
0.95241	0.00135
0.96489	0.00132
0.97553	0.00115			
0.98429	0.00089			
0.99114	0.00058			
0.99606	0.00028			
0.99901	0.00008			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	11.55	%		
Dickenrcklage(xd):	29.66	%		
Profilwlbung(f):	2.4	%		
Wlbungsrcklage(xf):	46.86	%		
Momentenbeiwert(cm0):	-0.0874			
Nullauftrieb(a0):	-3.2743			
Stofreier	Eintritt:	0.3271		
Ca	bei	stofreiem	Eintritt:	0.3949
Auftriebsanstieg:	6.8537			
Neutralpunktlage:	25.79	%
Profiltyp:	Profil	
