  SD5060 (9.5%)
  1.00000  0.0
  0.99678  0.00023
  0.98720  0.00102
  0.97149  0.00256
  0.95002  0.00500
  0.92326  0.00838
  0.89173  0.01268
  0.85600  0.01778
  0.81664  0.02351
  0.77422  0.02967
  0.72929  0.03600
  0.68236  0.04227
  0.63396  0.04824
  0.58457  0.05370
  0.53465  0.05847
  0.48468  0.06239
  0.43508  0.06536
  0.38632  0.06730
  0.33882  0.06816
  0.29301  0.06793
  0.24931  0.06664
  0.20814  0.06433
  0.16992  0.06105
  0.13504  0.05683
  0.10383  0.05168
  0.07656  0.04565
  0.05343  0.03875
  0.03444  0.03104
  0.01954  0.02280
  0.00878  0.01443
  0.00223  0.00637
  0.00003 -0.00066
  0.00334 -0.00656
  0.01244 -0.01208
  0.02641 -0.01729
  0.04507 -0.02178
  0.06835 -0.02538
  0.09613 -0.02795
  0.12829 -0.02938
  0.16475 -0.02973
  0.20524 -0.02920
  0.24935 -0.02795
  0.29661 -0.02611
  0.34651 -0.02384
  0.39845 -0.02126
  0.45183 -0.01851
  0.50602 -0.01568
  0.56034 -0.01288
  0.61416 -0.01020
  0.66680 -0.00772
  0.71760 -0.00551
  0.76592 -0.00361
  0.81113 -0.00206
  0.85265 -0.00089
  0.88992 -0.00008
  0.92244  0.00039
  0.94974  0.00057
  0.97144  0.00051
  0.98721  0.00032
  0.99679  0.00010
  1.00000  0.00000
