PW1211 (c) Peter Wick SAL/DLG wing 
   1.00000	   0.00024
   0.99644	   0.00008
   0.99011	  -0.00010
   0.98279	  -0.00021
   0.97494	  -0.00024
   0.96687	  -0.00017
   0.95870	   0.00002
   0.95043	   0.00030
   0.94209	   0.00066
   0.93371	   0.00109
   0.92529	   0.00158
   0.91682	   0.00211
   0.90832	   0.00268
   0.89982	   0.00329
   0.89129	   0.00392
   0.88275	   0.00459
   0.87419	   0.00527
   0.86564	   0.00597
   0.85710	   0.00670
   0.84856	   0.00744
   0.84000	   0.00821
   0.83142	   0.00900
   0.82284	   0.00979
   0.81425	   0.01060
   0.80567	   0.01142
   0.79709	   0.01225
   0.78848	   0.01309
   0.77987	   0.01393
   0.77125	   0.01478
   0.76265	   0.01563
   0.75406	   0.01648
   0.74547	   0.01734
   0.73686	   0.01822
   0.72825	   0.01909
   0.71963	   0.01996
   0.71101	   0.02083
   0.70240	   0.02170
   0.69379	   0.02258
   0.68517	   0.02345
   0.67657	   0.02432
   0.66796	   0.02519
   0.65936	   0.02605
   0.65075	   0.02690
   0.64216	   0.02775
   0.63357	   0.02859
   0.62499	   0.02941
   0.61640	   0.03023
   0.60780	   0.03104
   0.59921	   0.03184
   0.59061	   0.03263
   0.58202	   0.03342
   0.57341	   0.03419
   0.56481	   0.03496
   0.55622	   0.03572
   0.54764	   0.03647
   0.53907	   0.03720
   0.53048	   0.03792
   0.52189	   0.03863
   0.51329	   0.03933
   0.50469	   0.04002
   0.49610	   0.04069
   0.48752	   0.04136
   0.47893	   0.04201
   0.47035	   0.04264
   0.46178	   0.04326
   0.45321	   0.04386
   0.44466	   0.04444
   0.43609	   0.04500
   0.42752	   0.04554
   0.41895	   0.04606
   0.41038	   0.04656
   0.40181	   0.04705
   0.39324	   0.04751
   0.38467	   0.04795
   0.37610	   0.04838
   0.36755	   0.04878
   0.35900	   0.04915
   0.35046	   0.04950
   0.34190	   0.04982
   0.33335	   0.05011
   0.32480	   0.05038
   0.31627	   0.05062
   0.30773	   0.05083
   0.29918	   0.05101
   0.29064	   0.05117
   0.28211	   0.05130
   0.27361	   0.05139
   0.26512	   0.05144
   0.25661	   0.05145
   0.24810	   0.05142
   0.23961	   0.05136
   0.23114	   0.05126
   0.22267	   0.05110
   0.21419	   0.05091
   0.20572	   0.05067
   0.19730	   0.05039
