MID 011-3 (c)Slobodan Midic  for Hand and Catapult Launched Glider
     1.000000    0.002654
     0.997402    0.002867
     0.989373    0.003560
     0.978468    0.004517
     0.967420    0.005508
     0.956344    0.006516
     0.945261    0.007538
     0.934164    0.008560
     0.923098    0.009581
     0.912041    0.010584
     0.900979    0.011577
     0.889953    0.012545
     0.878892    0.013493
     0.867838    0.014424
     0.856796    0.015330
     0.845718    0.016221
     0.834647    0.017095
     0.823590    0.017948
     0.812503    0.018784
     0.801412    0.019609
     0.790340    0.020416
     0.779253    0.021204
     0.768145    0.021982
     0.757057    0.022746
     0.745978    0.023490
     0.734872    0.024220
     0.723759    0.024938
     0.712668    0.025641
     0.701576    0.026323
     0.690456    0.026992
     0.679338    0.027652
     0.668243    0.028295
     0.657143    0.028918
     0.646017    0.029529
     0.634893    0.030129
     0.623792    0.030715
     0.612691    0.031279
     0.601567    0.031828
     0.590442    0.032366
     0.579341    0.032885
     0.568242    0.033383
     0.557119    0.033863
     0.545989    0.034330
     0.534886    0.034779
     0.523794    0.035202
     0.512680    0.035605
     0.501553    0.035990
     0.490445    0.036357
     0.479354    0.036697
     0.468243    0.037013
     0.457116    0.037310
     0.446012    0.037588
     0.434933    0.037835
     0.423838    0.038054
     0.412718    0.038247
     0.401618    0.038418
     0.390552    0.038558
     0.379475    0.038659
     0.368373    0.038731
     0.357291    0.038773
     0.346249    0.038776
     0.335197    0.038735
     0.324109    0.038657
     0.313045    0.038545
     0.302028    0.038389
     0.290995    0.038181
     0.279914    0.037933
     0.268852    0.037652
     0.257844    0.037327
     0.246839    0.036948
     0.235828    0.036517
     0.224849    0.036032
     0.213886    0.035484
     0.202910    0.034875
     0.191967    0.034207
     0.181060    0.033468
     0.170146    0.032655
     0.159262    0.031771
     0.148417    0.030807
     0.137573    0.029757
     0.126775    0.028628
     0.116026    0.027402
     0.105301    0.026077
     0.094662    0.024648
     0.084053    0.023096
     0.073511    0.021423
     0.063058    0.019612
     0.052786    0.017652
     0.042724    0.015494
     0.032911    0.013115
     0.023578    0.010507
     0.014723    0.007590
     0.007859    0.004960
     0.004405    0.003432
     0.002726    0.002592
     0.001718    0.002011
     0.001035    0.001554
     0.000548    0.001150
     0.000215    0.000767
     0.000034    0.000390
     0.000012    0.000013
     0.000165   -0.000354
     0.000499   -0.000681
     0.000997   -0.000954
     0.001661   -0.001174
     0.002553   -0.001351
     0.003830   -0.001483
     0.005966   -0.001568
     0.010422   -0.001597
     0.018080   -0.001443
     0.027832   -0.000946
     0.038695   -0.000113
     0.049625    0.000892
     0.060345    0.001980
     0.071248    0.003144
     0.082133    0.004316
     0.093077    0.005461
     0.104062    0.006557
     0.114968    0.007595
     0.125921    0.008588
     0.136900    0.009537
     0.147822    0.010435
     0.158759    0.011291
     0.169749    0.012110
     0.180716    0.012888
     0.191660    0.013628
     0.202651    0.014337
     0.213684    0.015015
     0.224693    0.015658
     0.235686    0.016269
     0.246718    0.016850
     0.257791    0.017401
     0.268845    0.017920
     0.279869    0.018407
     0.290906    0.018862
     0.301976    0.019289
     0.313044    0.019686
     0.324086    0.020055
     0.335124    0.020394
     0.346189    0.020706
     0.357271    0.020992
     0.368337    0.021252
     0.379390    0.021484
     0.390459    0.021691
     0.401558    0.021873
     0.412668    0.022032
     0.423767    0.022165
     0.434866    0.022274
     0.445994    0.022361
     0.457140    0.022425
     0.468267    0.022467
     0.479355    0.022487
     0.490427    0.022486
     0.501530    0.022466
     0.512664    0.022426
     0.523784    0.022364
     0.534884    0.022282
     0.545989    0.022181
     0.557118    0.022059
     0.568253    0.021915
     0.579369    0.021750
     0.590472    0.021565
     0.601584    0.021358
     0.612715    0.021128
     0.623842    0.020876
     0.634948    0.020604
     0.646047    0.020309
     0.657162    0.019991
     0.668288    0.019650
     0.679397    0.019287
     0.690490    0.018903
     0.701593    0.018495
     0.712714    0.018064
     0.723828    0.017615
     0.734918    0.017145
     0.746011    0.016652
     0.757124    0.016133
     0.768234    0.015589
     0.779321    0.015020
     0.790411    0.014423
     0.801520    0.013797
     0.812618    0.013143
     0.823691    0.012462
     0.834770    0.011752
     0.845861    0.011011
     0.856922    0.010241
     0.867977    0.009440
     0.879049    0.008606
     0.890100    0.007741
     0.901146    0.006844
     0.912225    0.005911
     0.923283    0.004944
     0.934361    0.003947
     0.945438    0.002937
     0.956506    0.001906
     0.967573    0.000859
     0.978639   -0.000211
     0.989549   -0.001284
     0.997585   -0.002086
     1.000000   -0.002339
