Profil volution SB96VS/TPR95/96/95  264.82 pour L213 (ph.jambon.free.fr)
1.0000000   0.0005231
0.9833700   0.0030117
0.9483600   0.0079801
0.9077000   0.0136099
0.8663800   0.0192426
0.8247600   0.0248225
0.7830900   0.0302901
0.7414700   0.0355813
0.6998400   0.0406333
0.6582200   0.0453602
0.6165700   0.0497025
0.5747800   0.0536025
0.5328500   0.0570560
0.4909100   0.0600024
0.4490400   0.0624052
0.4075400   0.0642031
0.3665300   0.0652489
0.3259000   0.0654277
0.2856700   0.0646893
0.2455000   0.0629412
0.2058000   0.0600216
0.1665100   0.0557707
0.1299700   0.0503982
0.0911100   0.0429197
0.0585100   0.0345721
0.0324300   0.0256071
0.0169200   0.0182880
0.0080000   0.0125034
0.0031300   0.0078040
0.0004500   0.0027033
0.0000000   -0.0006016
0.0001400   -0.0010670
0.0021200   -0.0053712
0.0065300   -0.0093718
0.0138700   -0.0133113
0.0261000   -0.0177428
0.0466700   -0.0226307
0.0772400   -0.0274738
0.1140000   -0.0312842
0.1535900   -0.0339454
0.1951300   -0.0357111
0.2364800   -0.0367211
0.2777200   -0.0370612
0.3191000   -0.0368183
0.3605500   -0.0360421
0.4021200   -0.0347816
0.4440800   -0.0330941
0.4862900   -0.0310793
0.5285300   -0.0288118
0.5707700   -0.0263182
0.6128000   -0.0236175
0.6547300   -0.0207272
0.6967500   -0.0177217
0.7388600   -0.0146881
0.7809800   -0.0117188
0.8230300   -0.0089026
0.8650400   -0.0062803
0.9068400   -0.0039658
0.9475700   -0.0020573
0.9831100   -0.0007657
1.0000000   -0.0005231
