NM REtro 14   14% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 1.00000     0.00288 
 0.99620     0.00382
 0.98981     0.00538
 0.98259     0.00721
 0.97460     0.00923
 0.96604     0.01135
 0.95710     0.01351
 0.94790     0.01572
 0.93854     0.01793
 0.92909     0.02016
 0.91959     0.02236
 0.91006     0.02456
 0.90055     0.02674
 0.89107     0.02889
 0.88157     0.03102
 0.87201     0.03315
 0.86244     0.03527
 0.85287     0.03737
 0.84329     0.03944
 0.83369     0.04150
 0.82408     0.04354
 0.81450     0.04555
 0.80494     0.04753
 0.79539     0.04949
 0.78584     0.05143
 0.77629     0.05334
 0.76675     0.05521
 0.75725     0.05708
 0.74777     0.05891
 0.73830     0.06072
 0.72881     0.06249
 0.71930     0.06425
 0.70979     0.06597
 0.70030     0.06766
 0.69084     0.06933
 0.68137     0.07097
 0.67188     0.07256
 0.66236     0.07416
 0.65284     0.07571
 0.64332     0.07723
 0.63384     0.07872
 0.62436     0.08018
 0.61487     0.08161
 0.60535     0.08300
 0.59580     0.08436
 0.58624     0.08570
 0.57671     0.08699
 0.56719     0.08826
 0.55768     0.08948
 0.54814     0.09068
 0.53856     0.09183
 0.52896     0.09295
 0.51938     0.09403
 0.50984     0.09508
 0.50033     0.09609
 0.49085     0.09704
 0.48134     0.09795
 0.47179     0.09882
 0.46222     0.09964
 0.45268     0.10044
 0.44318     0.10116
 0.43374     0.10184
 0.42431     0.10247
 0.41486     0.10306
 0.40537     0.10359
 0.39586     0.10406
 0.38641     0.10447
 0.37700     0.10485
 0.36764     0.10515
 0.35828     0.10540
 0.34888     0.10557
 0.33943     0.10568
 0.32999     0.10574
 0.32061     0.10573
 0.31131     0.10565
 0.30207     0.10552
 0.29280     0.10531
 0.28346     0.10500
 0.27409     0.10460
 0.26477     0.10416
 0.25556     0.10367
 0.24646     0.10307
 0.23737     0.10239
 0.22822     0.10161
 0.21900     0.10072
 0.20983     0.09975
 0.20080     0.09871
 0.19192     0.09757
 0.18305     0.09632
 0.17411     0.09493
 0.16512     0.09344
 0.15626     0.09186
 0.14759     0.09018
 0.13908     0.08839
 0.13053     0.08643
 0.12190     0.08432
 0.11337     0.08208
 0.10517     0.07980
 0.09727     0.07741
 0.08943     0.07481
 0.08158     0.07202
 0.07402     0.06915
 0.06698     0.06629
 0.06036     0.06333
 0.05394     0.06014
 0.04775     0.05684
 0.04204     0.05355
 0.03690     0.05035
 0.03231     0.04722
 0.02819     0.04411
 0.02450     0.04110
 0.02122     0.03819
 0.01834     0.03543
 0.01580     0.03278
 0.01357     0.03027
 0.01162     0.02789
 0.00989     0.02561
 0.00838     0.02344
 0.00704     0.02135
 0.00586     0.01934
 0.00483     0.01741
 0.00392     0.01553
 0.00314     0.01377
 0.00247     0.01213
 0.00189     0.01055
 0.00137     0.00892
 0.00093     0.00723
 0.00060     0.00592
 0.00036     0.00478
 0.00013     0.00308
-0.00001     0.00121
-0.00003     0.00037
-0.00001    -0.00016
 0.00011    -0.00204
 0.00036    -0.00358
 0.00063    -0.00448
 0.00107    -0.00590
 0.00166    -0.00736
 0.00234    -0.00863
 0.00314    -0.00995
 0.00410    -0.01135
 0.00518    -0.01273
 0.00640    -0.01413
 0.00779    -0.01557
 0.00937    -0.01703
 0.01116    -0.01847
 0.01320    -0.01995
 0.01550    -0.02139
 0.01812    -0.02283
 0.02108    -0.02423
 0.02443    -0.02560
 0.02823    -0.02692
 0.03259    -0.02825
 0.03753    -0.02959
 0.04301    -0.03093
 0.04891    -0.03217
 0.05532    -0.03329
 0.06235    -0.03434
 0.06989    -0.03534
 0.07766    -0.03624
 0.08556    -0.03699
 0.09378    -0.03763
 0.10236    -0.03817
 0.11115    -0.03865
 0.11985    -0.03902
 0.12859    -0.03929
 0.13751    -0.03945
 0.14667    -0.03956
 0.15587    -0.03962
 0.16497    -0.03962
 0.17402    -0.03952
 0.18317    -0.03936
 0.19249    -0.03913
 0.20186    -0.03886
 0.21116    -0.03855
 0.22038    -0.03819
 0.22958    -0.03776
 0.23890    -0.03728
 0.24832    -0.03676
 0.25775    -0.03619
 0.26713    -0.03559
 0.27643    -0.03495
 0.28574    -0.03424
 0.29510    -0.03349
 0.30456    -0.03271
 0.31406    -0.03189
 0.32352    -0.03105
 0.33294    -0.03017
 0.34233    -0.02927
 0.35176    -0.02831
 0.36128    -0.02734
 0.37085    -0.02634
 0.38044    -0.02531
