MVR120 2.3%-8.75% Alternative au MH32 (c) Marco Virgilio Ricci  kipecoul.e-monsite.com/pages/profil-mvr/mh-32-style.html
 1.00000    0.00013
 0.99014    0.00174
 0.96862    0.00522
 0.94546    0.00883
 0.92159    0.01234
 0.89745    0.01573
 0.87312    0.01908
 0.84872    0.02243
 0.82451    0.02572
 0.80046    0.02884
 0.77624    0.03185
 0.75189    0.03481
 0.72760    0.03770
 0.70339    0.04049
 0.67912    0.04317
 0.65478    0.04578
 0.63052    0.04830
 0.60643    0.05067
 0.58235    0.05284
 0.55815    0.05487
 0.53399    0.05674
 0.50993    0.05842
 0.48571    0.05991
 0.46127    0.06132
 0.43706    0.06263
 0.41323    0.06368
 0.38933    0.06442
 0.36510    0.06495
 0.34091    0.06533
 0.31714    0.06547
 0.29366    0.06521
 0.27004    0.06452
 0.24612    0.06350
 0.22230    0.06223
 0.19901    0.06062
 0.17613    0.05848
 0.15321    0.05573
 0.13040    0.05245
 0.10827    0.04863
 0.08706    0.04408
 0.06652    0.03861
 0.04734    0.03239
 0.03120    0.02586
 0.01921    0.01967
 0.01161    0.01456
 0.00670    0.01030
 0.00342    0.00698
 0.00133    0.00414
 0.00035    0.00148
 0.00037   -0.00110
 0.00140   -0.00363
 0.00385   -0.00577
 0.00739   -0.00799
 0.01252   -0.01019
 0.02068   -0.01261
 0.03357   -0.01543
 0.05132   -0.01794
 0.07312   -0.01997
 0.09611   -0.02155
 0.11925   -0.02260
 0.14286   -0.02320
 0.16701   -0.02353
 0.19126   -0.02372
 0.21533   -0.02372
 0.23938   -0.02347
 0.26358   -0.02303
 0.28783   -0.02242
 0.31212   -0.02166
 0.33661   -0.02080
 0.36119   -0.01990
 0.38559   -0.01896
 0.40994   -0.01790
 0.43436   -0.01677
 0.45873   -0.01570
 0.48320   -0.01472
 0.50768   -0.01374
 0.53197   -0.01267
 0.55631   -0.01146
 0.58075   -0.01018
 0.60514   -0.00894
 0.62949   -0.00782
 0.65399   -0.00678
 0.67860   -0.00576
 0.70305   -0.00476
 0.72736   -0.00387
 0.75178   -0.00309
 0.77628   -0.00229
 0.80073   -0.00144
 0.82511   -0.00065
 0.84941    0.00001
 0.87377    0.00055
 0.89802    0.00097
 0.92207    0.00119
 0.94589    0.00116
 0.96886    0.00079
 0.99008    0.00014
 1.00000   -0.00025

http://kipecoul.e-monsite.com/pages/profil-mvr/mh-32-style.html
