HN-483	 Norbert Habbe F3B/F3F
1.00000	0.00000
0.99901	0.00014
0.99606	0.00059
0.99114	0.00139
0.98429	0.00255
0.97553	0.00405
0.96489	0.00581
0.95241	0.00778
0.93815	0.00990
0.92216	0.01219
0.90451	0.01464
0.88526	0.01724
0.86448	0.01996
0.84227	0.02277
0.81871	0.02565
0.79389	0.02855
0.76791	0.03145
0.74088	0.03432
0.71289	0.03713
0.68406	0.03985
0.65451	0.04246
0.62435	0.04492
0.59369	0.04721
0.56267	0.04931
0.53140	0.05119
0.50000	0.05282
0.46861	0.05419
0.43733	0.05527
0.40631	0.05605
0.37566	0.05650
0.34549	0.05663
0.31594	0.05642
0.28711	0.05586
0.25912	0.05493
0.23209	0.05365
0.20611	0.05202
0.18129	0.05003
0.15773	0.04770
0.13552	0.04504
0.11474	0.04207
0.09549	0.03880
0.07784	0.03526
0.06185	0.03149
0.04759	0.02752
0.03511	0.02338
0.02447	0.01913
0.01571	0.01486
0.00886	0.01066
0.00394	0.00664
0.00099	0.00294
0.00000	0.00000
0.00099	-0.00249
0.00394	-0.00503
0.00886	-0.00755
0.01571	-0.00991
0.02447	-0.01216
0.03511	-0.01425
0.04759	-0.01611
0.06185	-0.01776
0.07784	-0.01917
0.09549	-0.02035
0.11474	-0.02132
0.13552	-0.02206
0.15773	-0.02259
0.18129	-0.02293
0.20611	-0.02307
0.23209	-0.02303
0.25912	-0.02283
0.28711	-0.02247
0.31594	-0.02197
0.34549	-0.02133
0.37566	-0.02057
0.40631	-0.01969
0.43733	-0.01872
0.46861	-0.01765
0.50000	-0.01649
0.53140	-0.01523
0.56267	-0.01387
0.59369	-0.01240
0.62435	-0.01085
0.65451	-0.00927
0.68406	-0.00773
0.71289	-0.00625
0.74088	-0.00485
0.76791	-0.00358
0.79389	-0.00243
0.81871	-0.00143
0.84227	-0.00057
0.86448	0.00013
0.88526	0.00067
0.90451	0.00106
0.92216	0.00130
0.93815	0.00140
0.95241	0.00137
0.96489	0.00124
0.97553	0.00103
0.98429	0.00077
0.99114	0.00049
0.99606	0.00024
0.99901	0.00007
1.00000	0.00000
