MID 393  (c)Slobodan Midic
     1.000000    0.002385
     0.992610    0.004624
     0.979703    0.008409
     0.964779    0.012685
     0.948029    0.017373
     0.929839    0.022326
     0.910631    0.027421
     0.890763    0.032556
     0.870473    0.037669
     0.849923    0.042728
     0.829186    0.047710
     0.808316    0.052619
     0.787363    0.057446
     0.766362    0.062184
     0.745341    0.066833
     0.724335    0.071375
     0.703359    0.075810
     0.682436    0.080111
     0.661503    0.084282
     0.640579    0.088339
     0.619703    0.092268
     0.598912    0.096051
     0.578223    0.099671
     0.557645    0.103113
     0.537180    0.106364
     0.516831    0.109413
     0.496602    0.112246
     0.476498    0.114852
     0.456529    0.117218
     0.436702    0.119330
     0.417028    0.121176
     0.397516    0.122742
     0.378183    0.124017
     0.359044    0.124987
     0.340129    0.125641
     0.321467    0.125964
     0.303086    0.125937
     0.284984    0.125543
     0.267197    0.124786
     0.249762    0.123643
     0.232687    0.122102
     0.215978    0.120146
     0.199631    0.117776
     0.183681    0.114997
     0.168168    0.111821
     0.153154    0.108259
     0.138690    0.104329
     0.124849    0.100063
     0.111695    0.095495
     0.099298    0.090676
     0.087721    0.085672
     0.077028    0.080565
     0.067256    0.075434
     0.058421    0.070383
     0.050524    0.065463
     0.043515    0.060696
     0.037321    0.056101
     0.031859    0.051691
     0.027042    0.047484
     0.022798    0.043480
     0.019067    0.039664
     0.015790    0.036023
     0.012926    0.032532
     0.010449    0.029163
     0.008326    0.025897
     0.006513    0.022735
     0.004960    0.019685
     0.003633    0.016749
     0.002519    0.013921
     0.001615    0.011191
     0.000919    0.008553
     0.000436    0.006002
     0.000174    0.003537
     0.000142    0.001146
     0.000348   -0.001242
     0.000798   -0.003652
     0.001508   -0.006051
     0.002526   -0.008400
     0.003919   -0.010629
     0.005715   -0.012666
     0.007898   -0.014468
     0.010439   -0.016012
     0.013318   -0.017305
     0.016521   -0.018392
     0.020053   -0.019344
     0.023948   -0.020213
     0.028259   -0.021031
     0.033063   -0.021816
     0.038452   -0.022579
     0.044551   -0.023316
     0.051519   -0.024020
     0.059556   -0.024694
     0.068894   -0.025325
     0.079796   -0.025896
     0.092481   -0.026416
     0.107048   -0.026825
     0.123489   -0.027097
     0.141546   -0.027230
     0.160860   -0.027226
     0.180993   -0.027085
     0.201645   -0.026812
     0.222587   -0.026396
     0.243757   -0.025846
     0.265095   -0.025167
     0.286615   -0.024376
     0.308274   -0.023489
     0.330089   -0.022520
     0.352010   -0.021489
     0.374033   -0.020400
     0.396108   -0.019276
     0.418216   -0.018106
     0.440335   -0.016908
     0.462433   -0.015669
     0.484522   -0.014394
     0.506566   -0.013078
     0.528602   -0.011710
     0.550640   -0.010290
     0.572749   -0.008806
     0.594956   -0.007295
     0.617167   -0.005777
     0.639308   -0.004277
     0.661352   -0.002817
     0.683252   -0.001411
     0.705004   -0.000081
     0.726582    0.001163
     0.747980    0.002293
     0.769195    0.003298
     0.790215    0.004154
     0.811049    0.004850
     0.831670    0.005367
     0.852069    0.005694
     0.872189    0.005816
     0.891955    0.005729
     0.911210    0.005420
     0.929792    0.004873
     0.947491    0.004101
     0.963986    0.003164
     0.978933    0.002133
     0.992102    0.001082
     1.000000    0.000400

(15%)
 Posted by: "Slobodan Midic" slomi AT EUnet.yu slo_mi
    Date: Mon Mar 26, 2007 1:51 pm ((PDT))
