HN-802	 Norbert Habbe HLG/F3J
1.00000	0.00000
0.99901	0.00017
0.99606	0.00069
0.99114	0.00161
0.98429	0.00293
0.97553	0.00462
0.96489	0.00661
0.95241	0.00885
0.93815	0.01124
0.92216	0.01381
0.90451	0.01655
0.88526	0.01944
0.86448	0.02245
0.84227	0.02554
0.81871	0.02869
0.79389	0.03185
0.76791	0.03499
0.74088	0.03809
0.71289	0.04111
0.68406	0.04401
0.65451	0.04677
0.62435	0.04937
0.59369	0.05177
0.56267	0.05397
0.53140	0.05591
0.50000	0.05759
0.46861	0.05897
0.43733	0.06004
0.40631	0.06077
0.37566	0.06116
0.34549	0.06119
0.31594	0.06083
0.28711	0.06010
0.25912	0.05899
0.23209	0.05748
0.20611	0.05561
0.18129	0.05337
0.15773	0.05076
0.13552	0.04781
0.11474	0.04454
0.09549	0.04096
0.07784	0.03712
0.06185	0.03305
0.04759	0.02877
0.03511	0.02435
0.02447	0.01982
0.01571	0.01531
0.00886	0.01089
0.00402	0.00668
0.00106	0.00304
0.00000	0.00000
0.00106	-0.00251
0.00394	-0.00469
0.00886	-0.00694
0.01571	-0.00899
0.02447	-0.01088
0.03511	-0.01258
0.04759	-0.01404
0.06185	-0.01526
0.07784	-0.01626
0.09549	-0.01703
0.11474	-0.01758
0.13552	-0.01792
0.15773	-0.01807
0.18129	-0.01803
0.20611	-0.01782
0.23209	-0.01746
0.25912	-0.01695
0.28711	-0.01632
0.31594	-0.01558
0.34549	-0.01474
0.37566	-0.01381
0.40631	-0.01282
0.43733	-0.01176
0.46861	-0.01067
0.50000	-0.00952
0.53140	-0.00834
0.56267	-0.00711
0.59369	-0.00583
0.62435	-0.00453
0.65451	-0.00326
0.68406	-0.00204
0.71289	-0.00091
0.74088	0.00011
0.76791	0.00101
0.79389	0.00176
0.81871	0.00237
0.84227	0.00283
0.86448	0.00313
0.88526	0.00329
0.90451	0.00331
0.92216	0.00318
0.93815	0.00294
0.95241	0.00259
0.96489	0.00216
0.97553	0.00167
0.98429	0.00118
0.99114	0.00072
0.99606	0.00034
0.99901	0.00009
1.00000	0.00000
