HN-217	F3J Norbert Habe
1.00000	0.00000		
0.99901	0.00017		
0.99606	0.00072		
0.99114	0.00168		
0.98429	0.00306		
0.97553	0.00483		
0.96489	0.00691		
0.95241	0.00921		
0.93815	0.01168		
0.92216	0.01432		
0.90451	0.01713		
0.88526	0.02010		
0.86448	0.02318		
0.84227	0.02634		
0.81871	0.02956		
0.79389	0.03278
0.76791	0.03598
0.74088	0.03913
0.71289	0.04219
0.68406	0.04514
0.65451	0.04794
0.62435	0.05058
0.59369	0.05302
0.56267	0.05525
0.53140	0.05725
0.50000	0.05900
0.46861	0.06044
0.43733	0.06157
0.40631	0.06236
0.37566	0.06280
0.34549	0.06287
0.31594	0.06256
0.28711	0.06186
0.25912	0.06076
0.23209	0.05927
0.20611	0.05739
0.18129	0.05512
0.15773	0.05248
0.13552	0.04948
0.11474	0.04613
0.09549	0.04247
0.07784	0.03853
0.06185	0.03433
0.04759	0.02993
0.03511	0.02536
0.02447	0.02068
0.01571	0.01600
0.00886	0.01143
0.00394	0.00707
0.00099	0.00311
0.00000	0.00000
0.00099	-0.00240
0.00394	-0.00499
0.00886	-0.00743
0.01571	-0.00963
0.02447	-0.01168
0.03511	-0.01355
0.04759	-0.01515
0.06185	-0.01653
0.07784	-0.01767
0.09549	-0.01857
0.11474	-0.01926
0.13552	-0.01972
0.15773	-0.02000
0.18129	-0.02008
0.20611	-0.01999
0.23209	-0.01976
0.25912	-0.01937
0.28711	-0.01886
0.31594	-0.01824
0.34549	-0.01750
0.37566	-0.01668
0.40631	-0.01577
0.43733	-0.01479
0.46861	-0.01374
0.50000	-0.01261
0.53140	-0.01141
0.56267	-0.01009
0.59369	-0.00866
0.62435	-0.00714
0.65451	-0.00560
0.68406	-0.00412
0.71289	-0.00272
0.74088	-0.00143
0.76791	-0.00029
0.79389	0.00070
0.81871	0.00151
0.84227	0.00216
0.86448	0.00263
0.88526	0.00292
0.90451	0.00305
0.92216	0.00302
0.93815	0.00285
0.95241	0.00256
0.96489	0.00216
0.97553	0.00170			
0.98429	0.00121			
0.99114	0.00074			
0.99606	0.00035			
0.99901	0.00009			
1.00000	0.00000			

Profilbeiwerte				
Profildicke(d):	8,08	%		
Dickenrcklage(xd):	30,62	%		
Profilwlbung(f):	2,34	%		
Wlbungsrcklage(xf):	44,77	%		
Momentenbeiwert(cm0):	-0,0875			
Nullauftrieb(a0):	-3,2921			
Stofreier	Eintritt:	0,3602		
Ca	bei	stofreiem	Eintritt:	0,4005
Auftriebsanstieg:	6,6858	
Neutralpunktlage:	25,60	%
Profiltyp:	Profil	
