HN-276SA Aile volante  Norbert Habbe
1.00000	0.00000		
0.99901	0.00006		
0.99600	0.00026		
0.99114	0.00060		
0.98429	0.00116		
0.97553	0.00193		
0.96489	0.00291		
0.95241	0.00406		
0.93815	0.00539		
0.92216	0.00689		
0.90451	0.00856		
0.88526	0.01041		
0.86448	0.01241		
0.84227	0.01453		
0.81871	0.01677		
0.79389	0.01908
0.76791	0.02145
0.74088	0.02386
0.71289	0.02628
0.68406	0.02868
0.65451	0.03103
0.62435	0.03332
0.59369	0.03551
0.56267	0.03758
0.53140	0.03951
0.50000	0.04128
0.46861	0.04285
0.43733	0.04422
0.40631	0.04537
0.37566	0.04627
0.34549	0.04692
0.31594	0.04729
0.28711	0.04738
0.25912	0.04716
0.23209	0.04664
0.20611	0.04580
0.18129	0.04464
0.15773	0.04316
0.13552	0.04133
0.11474	0.03918
0.09549	0.03669
0.07784	0.03388
0.06185	0.03076
0.04759	0.02735
0.03511	0.02366
0.02447	0.01972
0.01566	0.01559
0.00876	0.01145
0.00374	0.00728
0.00081	0.00316
0.00000	0.00000
0.00099	-0.00336
0.00374	-0.00696
0.00876	-0.01086
0.01566	-0.01470
0.02447	-0.01845
0.03511	-0.02199
0.04759	-0.02524
0.06185	-0.02822
0.07784	-0.03089
0.09549	-0.03326
0.11474	-0.03532
0.13552	-0.03705
0.15773	-0.03848
0.18129	-0.03959
0.20611	-0.04040
0.23209	-0.04092
0.25912	-0.04115
0.28711	-0.04111
0.31594	-0.04080
0.34549	-0.04025
0.37566	-0.03946
0.40631	-0.03845
0.43733	-0.03725
0.46861	-0.03586
0.50000	-0.03430
0.53140	-0.03260
0.56267	-0.03077
0.59369	-0.02883
0.62435	-0.02681
0.65451	-0.02474
0.68406	-0.02262
0.71289	-0.02050
0.74088	-0.01838
0.76791	-0.01631
0.79389	-0.01429
0.81871	-0.01236
0.84227	-0.01052
0.86448	-0.00881
0.88526	-0.00723
0.90451	-0.00580
0.92216	-0.00453
0.93815	-0.00343
0.95241	-0.00249
0.96489	-0.00171
0.97553	-0.00108			
0.98429	-0.00060			
0.99114	-0.00029			
0.99606	-0.00011			
0.99901	-0.00002			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8.85	%		
Dickenrcklage(xd):	28.71	%		
Profilwlbung(f):	0.35	%		
Wlbungsrcklage(xf):	46.86	%		
Momentenbeiwert(cm0):	-0.0121			
Nullauftrieb(a0):	-0.4566			
Stofreier	Eintritt:	0.0585		
Ca	bei	stofreiem	Eintritt:	0.0565
Auftriebsanstieg:	6.7293			
Neutralpunktlage:	25.47	%
Profiltyp:	Profil	
