Rs004at	(c)Reinhard Sielemann
1.000000	0.000000
0.997260	0.000101
0.989070	0.000462
0.975530	0.001189
0.956770	0.002309
0.933010	0.003810
0.904510	0.005726
0.871570	0.008099
0.834570	0.010893
0.793890	0.014026
0.750000	0.017488
0.703370	0.021265
0.654510	0.025294
0.603960	0.029406
0.552260	0.033196
0.500000	0.036526
0.447740	0.039512
0.396040	0.041987
0.345490	0.043788
0.296630	0.044813
0.250000	0.044941
0.206110	0.044099
0.165430	0.042233
0.128430	0.039325
0.095490	0.035373
0.066990	0.030449
0.043230	0.024736
0.024470	0.018485
0.010930	0.011922
0.002740	0.005630
0.000000	0.000000
0.002740	-0.005630
0.010930	-0.011922
0.024470	-0.018485
0.043230	-0.024736
0.066990	-0.030449
0.095490	-0.035373
0.128430	-0.039325
0.165430	-0.042233
0.206110	-0.044099
0.250000	-0.044941
0.296630	-0.044813
0.345490	-0.043788
0.396040	-0.041987
0.447740	-0.039512
0.500000	-0.036526
0.552260	-0.033196
0.603960	-0.029406
0.654510	-0.025294
0.703370	-0.021265
0.750000	-0.017488
0.793890	-0.014026
0.834570	-0.010893
0.871570	-0.008099
0.904510	-0.005726
0.933010	-0.003810
0.956770	-0.002309
0.975530	-0.001189
0.989070	-0.000462
0.997260	-0.000101
1.000000	0.000000
