MID 415 mid393 modified  0.038 camber instead of 0.05 (c)Slobodan Midic
     1.000000    0.001905
     0.992609    0.003799
     0.979702    0.007010
     0.964778    0.010653
     0.948027    0.014669
     0.929837    0.018938
     0.910628    0.023360
     0.890760    0.027848
     0.870470    0.032344
     0.849919    0.036819
     0.829182    0.041252
     0.808312    0.045643
     0.787358    0.049983
     0.766357    0.054262
     0.745336    0.058480
     0.724330    0.062617
     0.703353    0.066670
     0.682430    0.070614
     0.661497    0.074451
     0.640573    0.078192
     0.619696    0.081823
     0.598905    0.085327
     0.578216    0.088686
     0.557638    0.091886
     0.537173    0.094912
     0.516824    0.097753
     0.496595    0.100398
     0.476490    0.102837
     0.456521    0.105060
     0.436694    0.107054
     0.417020    0.108809
     0.397508    0.110315
     0.378175    0.111558
     0.359036    0.112529
     0.340121    0.113217
     0.321459    0.113606
     0.303078    0.113680
     0.284976    0.113423
     0.267190    0.112838
     0.249755    0.111902
     0.232680    0.110605
     0.215971    0.108932
     0.199624    0.106884
     0.183674    0.104465
     0.168162    0.101686
     0.153148    0.098558
     0.138684    0.095097
     0.124844    0.091330
     0.111690    0.087286
     0.099293    0.083010
     0.087717    0.078559
     0.077024    0.074007
     0.067252    0.069426
     0.058418    0.064906
     0.050521    0.060493
     0.043512    0.056210
     0.037318    0.052072
     0.031857    0.048094
     0.027040    0.044293
     0.022796    0.040667
     0.019065    0.037203
     0.015789    0.033886
     0.012925    0.030691
     0.010448    0.027589
     0.008325    0.024564
     0.006512    0.021616
     0.004959    0.018751
     0.003633    0.015967
     0.002519    0.013256
     0.001615    0.010609
     0.000919    0.008022
     0.000436    0.005500
     0.000174    0.003047
     0.000142    0.000659
     0.000348   -0.001741
     0.000798   -0.004164
     0.001508   -0.006627
     0.002526   -0.009070
     0.003918   -0.011445
     0.005714   -0.013693
     0.007897   -0.015755
     0.010438   -0.017588
     0.013317   -0.019191
     0.016520   -0.020606
     0.020051   -0.021903
     0.023946   -0.023134
     0.028257   -0.024331
     0.033061   -0.025514
     0.038449   -0.026698
     0.044548   -0.027880
     0.051516   -0.029060
     0.059553   -0.030245
     0.068890   -0.031432
     0.079792   -0.032606
     0.092476   -0.033765
     0.107043   -0.034839
     0.123484   -0.035781
     0.141540   -0.036562
     0.160854   -0.037158
     0.180986   -0.037554
     0.201638   -0.037748
     0.222580   -0.037729
     0.243750   -0.037507
     0.265088   -0.037094
     0.286607   -0.036510
     0.308266   -0.035779
     0.330081   -0.034913
     0.352002   -0.033938
     0.374025   -0.032861
     0.396100   -0.031707
     0.418208   -0.030468
     0.440327   -0.029164
     0.462425   -0.027787
     0.484515   -0.026345
     0.506559   -0.024835
     0.528595   -0.023251
     0.550633   -0.021595
     0.572742   -0.019856
     0.594949   -0.018069
     0.617160   -0.016256
     0.639302   -0.014442
     0.661346   -0.012650
     0.683246   -0.010894
     0.704998   -0.009191
     0.726577   -0.007552
     0.747975   -0.006006
     0.769190   -0.004563
     0.790210   -0.003244
     0.811045   -0.002060
     0.831666   -0.001027
     0.852065   -0.000155
     0.872186    0.000543
     0.891952    0.001059
     0.911207    0.001379
     0.929790    0.001484
     0.947489    0.001376
     0.963985    0.001100
     0.978932    0.000701
     0.992101    0.000234
     1.000000   -0.000091



Following is mid 393 modified :
0.038 camber instead of 0.05
Cd min 0.0064 at Cl 0.55
reduced pitch moment

    Posted by: "plxdesi" plxdesi AT yahoo.com plxdesi
    Date: Mon Mar 26, 2007 2:53 pm ((PDT))
