MID 010 4.1% (c)Slobodan Midic  for Hand and Catapult Launched Glider
     1.000000    0.000476
     0.993118    0.000779
     0.978541    0.001420
     0.963194    0.002097
     0.947819    0.002774
     0.932443    0.003452
     0.917066    0.004135
     0.901688    0.004816
     0.886305    0.005504
     0.870925    0.006189
     0.855541    0.006882
     0.840159    0.007571
     0.824775    0.008269
     0.809391    0.008965
     0.794013    0.009667
     0.778627    0.010373
     0.763246    0.011077
     0.747866    0.011789
     0.732480    0.012503
     0.717101    0.013217
     0.701721    0.013941
     0.686336    0.014664
     0.670957    0.015388
     0.655576    0.016123
     0.640189    0.016859
     0.624810    0.017596
     0.609431    0.018342
     0.594044    0.019091
     0.578666    0.019839
     0.563290    0.020599
     0.547904    0.021361
     0.532526    0.022123
     0.517154    0.022895
     0.501776    0.023671
     0.486403    0.024436
     0.471035    0.025189
     0.455700    0.025914
     0.440365    0.026598
     0.425010    0.027252
     0.409677    0.027873
     0.394355    0.028445
     0.379012    0.028975
     0.363690    0.029464
     0.348381    0.029892
     0.333050    0.030267
     0.317744    0.030588
     0.302451    0.030837
     0.287133    0.031022
     0.271852    0.031139
     0.256577    0.031167
     0.241260    0.031125
     0.225974    0.031017
     0.210684    0.030827
     0.195391    0.030568
     0.180150    0.030221
     0.164927    0.029764
     0.149754    0.029183
     0.134613    0.028451
     0.119536    0.027550
     0.104518    0.026447
     0.089603    0.025110
     0.074839    0.023489
     0.060332    0.021498
     0.046177    0.019023
     0.032537    0.015940
     0.019796    0.012132
     0.009620    0.008112
     0.004105    0.005202
     0.001454    0.003148
     0.000253    0.001270
     0.000033   -0.000429
     0.000907   -0.002070
     0.003031   -0.003574
     0.006998   -0.005146
     0.015022   -0.006988
     0.027893   -0.008954
     0.042114   -0.010405
     0.056733   -0.011349
     0.071626   -0.011947
     0.086696   -0.012289
     0.101779   -0.012433
     0.116959   -0.012402
     0.132158   -0.012231
     0.147461   -0.011960
     0.162771   -0.011628
     0.178140   -0.011255
     0.193520   -0.010890
     0.208903   -0.010519
     0.224289   -0.010151
     0.239673   -0.009785
     0.255051   -0.009411
     0.270423   -0.009055
     0.285823   -0.008712
     0.301202   -0.008375
     0.316567   -0.008064
     0.331964   -0.007769
     0.347349   -0.007481
     0.362719   -0.007216
     0.378116   -0.006967
     0.393507   -0.006724
     0.408880   -0.006501
     0.424274   -0.006294
     0.439671   -0.006093
     0.455047   -0.005908
     0.470436   -0.005742
     0.485841   -0.005580
     0.501243   -0.005421
     0.516643   -0.005266
     0.532042   -0.005105
     0.547436   -0.004943
     0.562830   -0.004790
     0.578231   -0.004640
     0.593629   -0.004486
     0.609024   -0.004340
     0.624423   -0.004198
     0.639824   -0.004052
     0.655218   -0.003914
     0.670617   -0.003781
     0.686019   -0.003644
     0.701413   -0.003513
     0.716812   -0.003388
     0.732212   -0.003260
     0.747607   -0.003139
     0.763006   -0.003021
     0.778405   -0.002901
     0.793800   -0.002790
     0.809200   -0.002678
     0.824596   -0.002568
     0.839994   -0.002465
     0.855394   -0.002360
     0.870791   -0.002263
     0.886190   -0.002164
     0.901585   -0.002072
     0.916981   -0.001978
     0.932372   -0.001891
     0.947764   -0.001803
     0.963154   -0.001719
     0.978520   -0.001637
     0.993118   -0.001562
     1.000000   -0.001524
