DAE-11 AIRFOIL
1.0000000 -.0000000
0.9864834 0.0025379
0.9700075 0.0056151
0.9478748 0.0100446
0.9186085 0.0163798
0.8879669 0.0235641
0.8579515 0.0311284
0.8279501 0.0391518
0.7977796 0.0476052
0.7673512 0.0564167
0.7366037 0.0655023
0.7056532 0.0747378
0.6752228 0.0837204
0.6454374 0.0922048
0.6162661 0.0999911
0.5875807 0.1069073
0.5591414 0.1128383
0.5306811 0.1177742
0.5020466 0.1217780
0.4732231 0.1248878
0.4442736 0.1271093
0.4152550 0.1284338
0.3861833 0.1288502
0.3570916 0.1283815
0.3280559 0.1270426
0.2991491 0.1248017
0.2704253 0.1216576
0.2419395 0.1175854
0.2137908 0.1125580
0.1861180 0.1065505
0.1590953 0.0995398
0.1329336 0.0915270
0.1079150 0.0825170
0.0844076 0.0725648
0.0628794 0.0618045
0.0439665 0.0505399
0.0283640 0.0393002
0.0164960 0.0287274
0.0082926 0.0193346
0.0032916 0.0114678
0.0007570 0.0051431
0.0000000 0.0000000
0.0004919 -.0034860
0.0020116 -.0064284
0.0044148 -.0087908
0.0080862 -.0107002
0.0141149 -.0123747
0.0245731 -.0138784
0.0414512 -.0148893
0.0648951 -.0150664
0.0926077 -.0144625
0.1225845 -.0132928
0.1536785 -.0117470
0.1853836 -.0099672
0.2174497 -.0080524
0.2497389 -.0060686
0.2821721 -.0040608
0.3146113 -.0020681
0.3469645 -.0001193
0.3792396 0.0017525
0.4114338 0.0035362
0.4435539 0.0052000
0.4756050 0.0067337
0.5075752 0.0081154
0.5394692 0.0093041
0.5713123 0.0102848
0.6031123 0.0110455
0.6348824 0.0115701
0.6666354 0.0118657
0.6983765 0.0119312
0.7301015 0.0117728
0.7617894 0.0113933
0.7934214 0.0107738
0.8249984 0.0099002
0.8565623 0.0087586
0.8883292 0.0073310
0.9200152 0.0056143
0.9479936 0.0038679
0.9696512 0.0023497
0.9862833 0.0010768
1.0000000 0.0000000
