profil aile volante emplanture A-Z 2002   Visuaro/TraCFoil
1.000000  0.010000
0.993200  0.010100
0.980600  0.010400
0.966500  0.010700
0.951200  0.011000
0.936000  0.011300
0.920700  0.011600
0.904800  0.011900
0.888600  0.012200
0.872600  0.012500
0.856700  0.013000
0.840700  0.013600
0.824700  0.014500
0.809100  0.015900
0.793300  0.017500
0.777700  0.019200
0.763900  0.020600
0.751400  0.021900
0.738600  0.022900
0.724800  0.024000
0.709500  0.025600
0.693300  0.027200
0.677100  0.028700
0.661400  0.030400
0.645200  0.032400
0.628800  0.034500
0.612400  0.036500
0.596100  0.038500
0.579600  0.040300
0.563100  0.042100
0.546600  0.043900
0.530100  0.045600
0.513600  0.047300
0.497100  0.048800
0.480700  0.050300
0.464200  0.051700
0.447700  0.053000
0.431200  0.054300
0.414700  0.055400
0.398300  0.056500
0.381800  0.057400
0.365300  0.058300
0.348900  0.059100
0.332500  0.059700
0.316100  0.060300
0.299700  0.060700
0.283300  0.061000
0.267000  0.061100
0.250700  0.0611001
0.234500  0.060900
0.218400  0.060500
0.202300  0.059900
0.186300  0.059100
0.170400  0.058000
0.154600  0.056600
0.139000  0.054900
0.123500  0.052800
0.108300  0.050400
0.093200  0.047500
0.078600  0.044300
0.064500  0.040500
0.051000  0.036300
0.038500  0.031500
0.027600  0.026400
0.018800  0.021300
0.012300  0.016700
0.007800  0.012800
0.004800  0.009600
0.002700  0.006800
0.001400  0.004400
0.000500  0.002300
0.000000  0.000500
0.000200  -0.001300
0.000900  -0.003100
0.002400  -0.004800
0.004700  -0.006400
0.007800  -0.008000
0.012200  -0.010100
0.018600  -0.012500
0.027700  -0.015300
0.039800  -0.018200
0.053800  -0.020900
0.068500  -0.023200
0.083600  -0.025000
0.099100  -0.026400
0.114800  -0.027500
0.130700  -0.028200
0.146800  -0.028800
0.163000  -0.029100
0.179400  -0.029300
0.195800  -0.0293001
0.212300  -0.029300
0.228800  -0.029100
0.245400  -0.028900
0.262000  -0.028600
0.278600  -0.028300
0.295200  -0.027900
0.311900  -0.027500
0.328500  -0.027000
0.345200  -0.026500
0.361900  -0.026000
0.378600  -0.025500
0.395300  -0.024900
0.412000  -0.024300
0.428700  -0.023700
0.445500  -0.023100
0.462200  -0.022500
0.478900  -0.021800
0.495700  -0.021200
0.512400  -0.020600
0.529200  -0.019900
0.545900  -0.019300
0.562700  -0.018600
0.579400  -0.018000
0.596200  -0.017400
0.612900  -0.016700
0.629700  -0.016100
0.646400  -0.015400
0.663200  -0.014800
0.679900  -0.014100
0.696700  -0.013500
0.713400  -0.012800
0.730200  -0.012200
0.746900  -0.011500
0.763600  -0.010800
0.780400  -0.010200
0.797100  -0.009500
0.813900  -0.008800
0.830600  -0.008200
0.847400  -0.007500
0.864100  -0.006800
0.880900  -0.006100
0.897600  -0.005400
0.914300  -0.004800
0.931000  -0.004000
0.947500  -0.003300
0.963900  -0.002500
0.979300  -0.001600
0.993000  -0.000600
1.000000  0.000000
Modification effectue le 01/05/02
http://alain.zutter.free.fr/AZ/
http://rcsoaringmag.free.fr/images/az/AZ.htm
AZ, une aile volante pour voler "frontside" et "backside" !

(conception du modle et auteur: Alain Zutter)
