HN-976S	Aile volante  Norbert Habbe	
1.000000	0.000000
0.999013	0.000046
0.996057	0.000222
0.991144	0.000580
0.984292	0.001157
0.975528	0.001965
0.964888	0.002963
0.952414	0.004106
0.938153	0.005369
0.922164	0.006768
0.904508	0.008331
0.885257	0.010070
0.864484	0.011983
0.842274	0.014072
0.818712	0.016327
0.793893	0.018735
0.767913	0.021276
0.740877	0.023933
0.712890	0.026686
0.684062	0.029506
0.654508	0.032359
0.624345	0.035217
0.593691	0.038035
0.562667	0.040778
0.531395	0.043401
0.500000	0.045869
0.468605	0.048145
0.437333	0.050200
0.406309	0.052004
0.375655	0.053515
0.345492	0.054696
0.315938	0.055512
0.287110	0.055936
0.259123	0.055951
0.232087	0.055532
0.206107	0.054652
0.181288	0.053317
0.157726	0.051504
0.135516	0.049215
0.114743	0.046464
0.095492	0.043275
0.077836	0.039698
0.061847	0.035779
0.047586	0.031556
0.035112	0.027078
0.024472	0.022402
0.015708	0.017626
0.008856	0.012853
0.003943	0.008148
0.000987	0.003781
0.000000	0.000000
0.000987	-0.003781
0.003943	-0.008148
0.008856	-0.012853
0.015708	-0.017626
0.024472	-0.022402
0.035112	-0.027078
0.047586	-0.031556
0.061847	-0.035779
0.077836	-0.039698
0.095492	-0.043275
0.114743	-0.046464
0.135516	-0.049215
0.157726	-0.051504
0.181288	-0.053317
0.206107	-0.054652
0.232087	-0.055532
0.259123	-0.055951
0.287110	-0.055936
0.315938	-0.055512
0.345492	-0.054696
0.375655	-0.053515
0.406309	-0.052004
0.437333	-0.050200
0.468605	-0.048145
0.500000	-0.045869
0.531395	-0.043401
0.562667	-0.040778
0.593691	-0.038035
0.624345	-0.035217
0.654508	-0.032359
0.684062	-0.029506
0.712890	-0.026686
0.740877	-0.023933
0.767913	-0.021276
0.793893	-0.018735
0.818712	-0.016327
0.842274	-0.014072
0.864484	-0.011983
0.885257	-0.010070
0.904508	-0.008331
0.922164	-0.006768
0.938153	-0.005369
0.952414	-0.004106
0.964888	-0.002963
0.975528	-0.001965
0.984292	-0.001157
0.991144	-0.000580
0.996057	-0.000222
0.999013	-0.000046
1.000000	0.000000
