NM REtro 16   16% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 1.00000     0.00328
 0.99620     0.00424
 0.98981     0.00585
 0.98259     0.00773
 0.97460     0.00981
 0.96604     0.01199
 0.95710     0.01422
 0.94790     0.01651
 0.93854     0.01880
 0.92909     0.02111
 0.91959     0.02340
 0.91006     0.02569
 0.90055     0.02796
 0.89107     0.03020
 0.88157     0.03242
 0.87201     0.03465
 0.86244     0.03687
 0.85287     0.03908
 0.84329     0.04127
 0.83369     0.04344
 0.82408     0.04560
 0.81450     0.04773
 0.80494     0.04984
 0.79539     0.05193
 0.78584     0.05400
 0.77629     0.05605
 0.76675     0.05806
 0.75725     0.06006
 0.74777     0.06204
 0.73830     0.06399
 0.72881     0.06591
 0.71930     0.06782
 0.70979     0.06968
 0.70030     0.07153
 0.69084     0.07335
 0.68137     0.07514
 0.67188     0.07689
 0.66236     0.07865
 0.65284     0.08036
 0.64332     0.08204
 0.63384     0.08369
 0.62436     0.08531
 0.61487     0.08690
 0.60535     0.08845
 0.59580     0.08997
 0.58624     0.09148
 0.57671     0.09293
 0.56719     0.09436
 0.55768     0.09574
 0.54814     0.09710
 0.53856     0.09841
 0.52896     0.09968
 0.51938     0.10092
 0.50984     0.10212
 0.50033     0.10328
 0.49085     0.10438
 0.48134     0.10543
 0.47179     0.10645
 0.46222     0.10741
 0.45268     0.10834
 0.44318     0.10920
 0.43374     0.11000
 0.42431     0.11076
 0.41486     0.11147
 0.40537     0.11212
 0.39586     0.11270
 0.38641     0.11322
 0.37700     0.11370
 0.36764     0.11410
 0.35828     0.11444
 0.34888     0.11470
 0.33943     0.11489
 0.32999     0.11502
 0.32061     0.11508
 0.31131     0.11506
 0.30207     0.11498
 0.29280     0.11481
 0.28346     0.11454
 0.27409     0.11417
 0.26477     0.11375
 0.25556     0.11327
 0.24646     0.11268
 0.23737     0.11199
 0.22822     0.11119
 0.21900     0.11028
 0.20983     0.10927
 0.20080     0.10819
 0.19192     0.10699
 0.18305     0.10568
 0.17411     0.10421
 0.16512     0.10263
 0.15626     0.10094
 0.14759     0.09915
 0.13908     0.09723
 0.13053     0.09514
 0.12190     0.09287
 0.11337     0.09046
 0.10517     0.08799
 0.09727     0.08541
 0.08943     0.08260
 0.08158     0.07957
 0.07402     0.07645
 0.06698     0.07334
 0.06036     0.07011
 0.05394     0.06664
 0.04775     0.06303
 0.04204     0.05943
 0.03690     0.05592
 0.03231     0.05249
 0.02819     0.04908
 0.02450     0.04577
 0.02122     0.04257
 0.01834     0.03952
 0.01580     0.03660
 0.01357     0.03381
 0.01162     0.03117
 0.00989     0.02864
 0.00838     0.02622
 0.00704     0.02389
 0.00586     0.02165
 0.00483     0.01950
 0.00392     0.01741
 0.00314     0.01544
 0.00247     0.01361
 0.00189     0.01185
 0.00137     0.01002
 0.00093     0.00813
 0.00060     0.00664
 0.00036     0.00537
 0.00013     0.00344
-0.00001     0.00130
-0.00003     0.00035
-0.00001    -0.00026
 0.00011    -0.00240
 0.00036    -0.00418
 0.00063    -0.00524
 0.00107    -0.00689
 0.00166    -0.00861
 0.00234    -0.01011
 0.00314    -0.01167
 0.00410    -0.01333
 0.00518    -0.01497
 0.00640    -0.01663
 0.00779    -0.01834
 0.00937    -0.02007
 0.01116    -0.02180
 0.01320    -0.02357
 0.01550    -0.02531
 0.01812    -0.02705
 0.02108    -0.02877
 0.02443    -0.03045
 0.02823    -0.03210
 0.03259    -0.03377
 0.03753    -0.03546
 0.04301    -0.03715
 0.04891    -0.03873
 0.05532    -0.04018
 0.06235    -0.04156
 0.06989    -0.04288
 0.07766    -0.04408
 0.08556    -0.04510
 0.09378    -0.04600
 0.10236    -0.04678
 0.11115    -0.04749
 0.11985    -0.04806
 0.12859    -0.04852
 0.13751    -0.04885
 0.14667    -0.04912
 0.15587    -0.04932
 0.16497    -0.04944
 0.17402    -0.04945
 0.18317    -0.04939
 0.19249    -0.04925
 0.20186    -0.04906
 0.21116    -0.04881
 0.22038    -0.04850
 0.22958    -0.04811
 0.23890    -0.04766
 0.24832    -0.04716
 0.25775    -0.04659
 0.26713    -0.04599
 0.27643    -0.04534
 0.28574    -0.04461
 0.29510    -0.04384
 0.30456    -0.04302
 0.31406    -0.04216
 0.32352    -0.04127
 0.33294    -0.04033
 0.34233    -0.03936
 0.35176    -0.03833
 0.36128    -0.03728
 0.37085    -0.03619
 0.38044    -0.03507
 0.39001    -0.03394
 0.39957    -0.03277
 0.40913    -0.03158
 0.41875    -0.03037
 0.42841    -0.02914
 0.43811    -0.02790
 0.44782    -0.02665
 0.45751    -0.02539
 0.46718    -0.02414
 0.47685    -0.02287
 0.48655    -0.02160
 0.49626    -0.02032
 0.50597    -0.01906
 0.51569    -0.01780
 0.52542    -0.01654
 0.53515    -0.01528
 0.54487    -0.01403
 0.55456    -0.01280
 0.56420    -0.01158
 0.57383    -0.01040
 0.58347    -0.00923
 0.59311    -0.00808
 0.60275    -0.00695
 0.61236    -0.00584
 0.62191    -0.00478
 0.63142    -0.00376
 0.64093    -0.00277
 0.65048    -0.00182
 0.66005    -0.00091
 0.66963    -0.00002
 0.67918     0.00083
 0.68871     0.00162
 0.69822     0.00235
 0.70776     0.00307
 0.71731     0.00372
 0.72687     0.00434
 0.73639     0.00490
 0.74588     0.00539
 0.75535     0.00585
 0.76481     0.00623
 0.77427     0.00659
 0.78373     0.00688
 0.79316     0.00712
 0.80255     0.00729
 0.81192     0.00740
 0.82129     0.00745
 0.83066     0.00744
 0.84003     0.00737
 0.84940     0.00723
 0.85876     0.00704
