HN-1051 Planeur  Norbert Habbe
1.00000	0.00000		
0.99901	0.00013		
0.99601	0.00056		
0.99113	0.00131		
0.98426	0.00239		
0.97553	0.00384		
0.96489	0.00559		
0.95241	0.00761		
0.93815	0.00987		
0.92216	0.01235		
0.90451	0.01506		
0.88526	0.01796		
0.86448	0.02101		
0.84227	0.02417		
0.81871	0.02739		
0.79389	0.03064
0.76791	0.03386
0.74088	0.03704
0.71289	0.04012
0.68406	0.04309
0.65451	0.04591
0.62435	0.04856
0.59369	0.05102
0.56267	0.05325
0.53140	0.05523
0.50000	0.05694
0.46861	0.05836
0.43733	0.05947
0.40631	0.06027
0.37566	0.06073
0.34549	0.06085
0.31594	0.06063
0.28711	0.06005
0.25912	0.05911
0.23209	0.05781
0.20611	0.05616
0.18129	0.05415
0.15773	0.05179
0.13552	0.04909
0.11474	0.04605
0.09549	0.04268
0.07784	0.03900
0.06185	0.03503
0.04759	0.03081
0.03511	0.02634
0.02447	0.02170
0.01571	0.01698
0.00886	0.01230
0.00394	0.00764
0.00099	0.00343
0.00000	0.00000
0.00099	-0.00299
0.00394	-0.00617
0.00886	-0.00936
0.01571	-0.01230
0.02447	-0.01508
0.03511	-0.01760
0.04759	-0.01981
0.06185	-0.02170
0.07784	-0.02328
0.09549	-0.02457
0.11474	-0.02556
0.13552	-0.02627
0.15773	-0.02671
0.18129	-0.02691
0.20611	-0.02686
0.23209	-0.02659
0.25912	-0.02612
0.28711	-0.02546
0.31594	-0.02462
0.34549	-0.02363
0.37566	-0.02250
0.40631	-0.02125
0.43733	-0.01990
0.46861	-0.01847
0.50000	-0.01697
0.53140	-0.01542
0.56267	-0.01384
0.59369	-0.01227
0.62435	-0.01072
0.65451	-0.00920
0.68406	-0.00774
0.71289	-0.00634
0.74088	-0.00501
0.76791	-0.00380
0.79389	-0.00269
0.81871	-0.00171
0.84227	-0.00086
0.86448	-0.00015
0.88526	0.00042
0.90451	0.00084
0.92216	0.00111
0.93815	0.00125
0.95236	0.001251
0.96486	0.00116
0.97546	0.00094			
0.98426	0.00070			
0.99113	0.00044			
0.99601	0.00021			
0.99901	0.00006			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8.55	%		
Dickenrcklage(xd):	28.71	%		
Profilwlbung(f):	2	%		
Wlbungsrcklage(xf):	50	%		
Momentenbeiwert(cm0):	-0.0695			
Nullauftrieb(a0):	-2.588			
Stofreier	Eintritt:	0.2523		
Ca	bei	stofreiem	Eintritt:	0.3115
Auftriebsanstieg:	6.7163			
Neutralpunktlage:	25.49	%
Profiltyp:	Profil	
