NM RETRO saumon pour les ailerons  50% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 1.00000     0.00482
 0.91407     0.01808
 0.84197     0.02895
 0.78141     0.03780
 0.72964     0.04503
 0.68392     0.05098
 0.64151     0.05604
 0.59968     0.06056
 0.55594     0.06490
 0.51000     0.06910
 0.46271     0.07295
 0.41492     0.07631
 0.36750     0.07903
 0.32131     0.08094
 0.27719     0.08188
 0.23599     0.08168
 0.19815     0.08026
 0.16370     0.07761
 0.13269     0.07374
 0.10512     0.06872
 0.08102     0.06265
 0.06042     0.05571
 0.04334     0.04806
 0.02968     0.03995
 0.01912     0.03172
 0.01127     0.02373
 0.00580     0.01625
 0.00234     0.00954
 0.00052     0.00425
 0.00000     0.00007
 0.00095    -0.00554
 0.00380    -0.00990
 0.00856    -0.01450
 0.01523    -0.01890
 0.02383    -0.02302
 0.03436    -0.02678
 0.04683    -0.03012
 0.06126    -0.03299
 0.07792    -0.03536
 0.09716    -0.03720
 0.11935    -0.03843
 0.14485    -0.03900
 0.17402    -0.03887
 0.20724    -0.03803
 0.24483    -0.03648
 0.28648    -0.03435
 0.33120    -0.03179
 0.37800    -0.02893
 0.42586    -0.02590
 0.47379    -0.02281
 0.52076    -0.01977
 0.56580    -0.01690
 0.60917    -0.01425
 0.65365    -0.01175
 0.70227    -0.00939
 0.75809    -0.00717
 0.82416    -0.00505
 0.90352    -0.00295
 1.00000   -0.00075

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
modif 1.00043 -> 1.00000
modif 0.99923 -> 1.00000
