Ritz 2-30-10 de MRA	
1.000000	0.000000
0.977800	0.003300
0.952200	0.007200
0.920100	0.012100
0.879800	0.018000
0.830500	0.024700
0.771900	0.032300
0.706900	0.040000
0.640800	0.047000
0.573400	0.053300
0.506500	0.059800
0.445900	0.063600
0.392900	0.067000
0.347000	0.069000
0.305900	0.069700
0.267300	0.069200
0.230800	0.067600
0.196600	0.065000
0.164800	0.061400
0.134900	0.056900
0.107900	0.051600
0.085700	0.046400
0.066900	0.040800
0.048900	0.034000
0.031700	0.026600
0.020100	0.021000
0.014000	0.017500
0.009700	0.014400
0.006100	0.011400
0.003400	0.008500
0.001500	0.005900
0.000400	0.003400
0.000000	0.001100
0.000200	-0.001100
0.001100	-0.003300
0.002700	-0.005500
0.005100	-0.007800
0.008100	-0.010000
0.011900	-0.012200
0.016600	-0.014200
0.024300	-0.016300
0.037500	-0.019400
0.053400	-0.022500
0.072700	-0.024300
0.107800	-0.026300
0.162000	-0.028200
0.218800	-0.029600
0.273800	-0.029900
0.331200	-0.029300
0.394800	-0.027800
0.466400	-0.025200
0.542700	-0.022700
0.619100	-0.020200
0.693600	-0.017100
0.765900	-0.013800
0.828900	-0.010800
0.897000	-0.008200
0.919300	-0.006000
0.951800	-0.003900
0.977700	-0.001900
1.000000	0.000000
