HN-350M02 F3J  Norbert Habbe
1.000000	0.000000		
0.999013	0.000170		
0.996057	0.000729		
0.991144	0.001720		
0.984292	0.003144		
0.975528	0.004964		
0.964888	0.007107		
0.952414	0.009493		
0.938153	0.012051		
0.922164	0.014796		
0.904508	0.017719		
0.885257	0.020812		
0.864484	0.024036		
0.842274	0.027350		
0.818712	0.030724		
0.793893	0.034123
0.767913	0.037508
0.740877	0.040852
0.712890	0.044113
0.684062	0.047264
0.654508	0.050275
0.624345	0.053120
0.593691	0.055763
0.562667	0.058180
0.531395	0.060346
0.500000	0.062229
0.468605	0.063801
0.437333	0.065038
0.406309	0.065925
0.375655	0.066430
0.345492	0.066558
0.315938	0.066273
0.287110	0.065582
0.259123	0.064467
0.232087	0.062930
0.206107	0.060976
0.181288	0.058611
0.157726	0.055835
0.135516	0.052685
0.114743	0.049159
0.095492	0.045296
0.077836	0.041124
0.061847	0.036683
0.047586	0.032016
0.035112	0.027173
0.024472	0.022188
0.015708	0.017205
0.008856	0.012324
0.003943	0.007622
0.000987	0.003350
0.000000	0.000000
0.000987	-0.002648
0.003943	-0.005538
0.008856	-0.008264
0.015708	-0.010793
0.024472	-0.013170
0.035112	-0.015355
0.047586	-0.017272
0.061847	-0.018943
0.077836	-0.020350
0.095492	-0.021498
0.114743	-0.022411
0.135516	-0.023075
0.157726	-0.023517
0.181288	-0.023745
0.206107	-0.023770
0.232087	-0.023610
0.259123	-0.023273
0.287110	-0.022784
0.315938	-0.022147
0.345492	-0.021372
0.375655	-0.020480
0.406309	-0.019471
0.437333	-0.018370
0.468605	-0.017175
0.500000	-0.015893
0.531395	-0.014516
0.562667	-0.013018
0.593691	-0.011403
0.624345	-0.009702
0.654508	-0.007983
0.684062	-0.006310
0.712890	-0.004723
0.740877	-0.003246
0.767913	-0.001914
0.793893	-0.000749
0.818712	0.000246
0.842274	0.001064
0.864484	0.001700
0.885257	0.002148
0.904508	0.002417
0.922164	0.002516
0.938153	0.002459
0.952414	0.002261
0.964888	0.001953
0.975528	0.001560			
0.984292	0.001128			
0.991144	0.000702			
0.996057	0.000339			
0.999013	0.000090			
1.000000	0.000000			
Profilbeiwerte				
Profildicke(d):	8.85	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	2.33	%		
Wlbungsrcklage(xf):	44.77	%		
Momentenbeiwert(cm0):	-0.0874			
Nullauftrieb(a0):	-3.2869			
Stofreier	Eintritt:	0.3629		
Ca	bei	stofreiem	Eintritt:	0.4002
Auftriebsanstieg:	6.7229			
Neutralpunktlage:	25.65	%
Profiltyp:	Profil	
