Pegase  coap  
1.00000000 0.000535905680600214     
 0.98606645 0.00321543408360129     
 0.96463022 0.00643086816720257     
 0.94319399 0.0107181136120043     
 0.92175777 0.0160771704180064     
 0.90032154 0.0203644158628081     
 0.87888531 0.0246516613076099     
 0.85744908 0.030010718113612     
 0.83601286 0.0351554126473741     
0.81457663  0.0401929260450161     
0.79314040  0.045016077170418     
0.77170418  0.0493033226152197     
 0.75026795 0.0535905680600214     
 0.72883172 0.0594855305466238     
 0.70739549 0.0643086816720257     
 0.68595927 0.0685959271168274     
 0.66452304 0.0728831725616292     
 0.64308681 0.0766345123258307     
 0.62165058 0.082529474812433     
 0.60021436 0.0876741693461951     
 0.57877813 0.0927116827438371     
 0.55734190 0.097534833869239     
 0.53590568 0.101822079314041     
 0.51446945 0.105037513397642     
 0.49303322 0.108788853161844     
 0.47159699 0.112004287245445     
 0.45016077 0.114683815648446     
 0.42872454 0.117899249732047     
 0.40728831 0.120042872454448     
 0.37513397 0.122186495176849     
 0.34297963 0.123258306538049     
 0.31082529 0.123043944265809     
 0.27867095 0.122186495176849     
 0.24651661 0.118971061093248     
 0.21436227 0.114147909967846     
 0.19292604 0.109646302250804     
 0.17148981 0.105037513397642     
 0.15005359 0.0996784565916399     
 0.12861736 0.0943193997856377     
 0.10718113 0.0873526259378349     
 0.08574490 0.0793140407288317     
 0.06430868 0.0685959271168274     
 0.04287245 0.0580921757770632     
 0.03215434 0.0514469453376206     
 0.02679528 0.0482315112540193     
 0.02143622 0.0434083601286174     
 0.01607717 0.0385852090032154     
 0.01071811 0.0310825294748124     
 0.00535905 0.0235798499464094     
 0.00267952 0.0192926045016077     
 0.00160771 0.0155412647374062     
        0        0     
 0.00160771 -0.00589496248660236     
0.00267952 -0.00878885316184351     
0.00535905 -0.0117899249732047     
0.01071811 -0.0182207931404073     
0.01607717 -0.022508038585209     
0.02143622 -0.0246516613076099     
0.02679528 -0.0262593783494105     
0.03215434 -0.0284030010718114     
0.04287245 -0.0302250803858521     
0.06430868 -0.0332261521972133     
0.08574490 -0.0363344051446945     
0.10718113 -0.0377277599142551     
0.12861736 -0.040085744908896     
0.15005359 -0.0420150053590568     
0.17148981 -0.0439442658092176     
0.19292604 -0.0458735262593783     
0.21436227 -0.0471596998928189     
0.24651661 -0.0487674169346195     
0.27867095 -0.0493033226152197     
0.31082529 -0.05005359056806     
0.34297963 -0.0503751339764201     
0.37513397 -0.0504823151125402     
0.40728831 -0.0503751339764201     
0.42872454 -0.0493033226152197     
0.45016077 -0.0491425509110397     
0.47159699 -0.0482315112540193     
0.49303322 -0.0471596998928189     
0.51446945 -0.0455519828510182     
0.53590568 -0.0430868167202572     
0.55734190 -0.0413719185423366     
0.57877813 -0.0396570203644159     
0.60021436 -0.0385852090032154     
0.62165058 -0.0369774919614148     
0.64308681 -0.0342979635584137     
0.66452304 -0.0321543408360129     
0.68595927 -0.030010718113612     
0.70739549 -0.0278670953912111     
0.72883172 -0.0257234726688103     
0.75026795 -0.0246516613076099     
0.77170418 -0.022508038585209     
0.79314040 -0.0203644158628081     
0.81457663 -0.0182207931404073     
0.83601286 -0.0160771704180064     
0.85744908 -0.0133976420150054     
0.87888531 -0.0117899249732047     
0.90032154 -0.00964630225080386     
0.92175777 -0.00911039657020364     
0.94319399 -0.007502679528403     
0.96463022 -0.00535905680600214     
0.98606645 -0.00428724544480171
1.0000000  -0.00214363

nous avons deux Peg dont l'un est un le premier proto fait par centrair sinon le deusime et l'autre est plus jeune en heure de vol et c'est au cours d'une des GV que j'ai pris le calque du COAP nom d'origine donn par centrair (ville de Leblanc prs de Poitiers).
"COUSIN ERIC" <ericousin@oreka.com>
