MID 012 (c)Slobodan Midic   for Hand and Catapult Launched Glider  
     1.000000    0.000635
     0.997478    0.000917
     0.989448    0.001826
     0.978542    0.003078
     0.967492    0.004366
     0.956414    0.005671
     0.945330    0.006988
     0.934231    0.008304
     0.923164    0.009614
     0.912105    0.010900
     0.901042    0.012170
     0.890014    0.013407
     0.878952    0.014616
     0.867896    0.015803
     0.856853    0.016956
     0.845774    0.018088
     0.834701    0.019197
     0.823643    0.020278
     0.812555    0.021336
     0.801462    0.022377
     0.790389    0.023394
     0.779301    0.024386
     0.768192    0.025363
     0.757103    0.026320
     0.746022    0.027251
     0.734915    0.028162
     0.723801    0.029057
     0.712709    0.029931
     0.701616    0.030780
     0.690495    0.031611
     0.679376    0.032428
     0.668280    0.033222
     0.657179    0.033991
     0.646052    0.034743
     0.634927    0.035481
     0.623825    0.036197
     0.612723    0.036887
     0.601598    0.037557
     0.590472    0.038212
     0.579370    0.038842
     0.568270    0.039445
     0.557146    0.040025
     0.546016    0.040588
     0.534912    0.041127
     0.523819    0.041634
     0.512704    0.042115
     0.501576    0.042574
     0.490468    0.043009
     0.479376    0.043412
     0.468264    0.043784
     0.457136    0.044133
     0.446032    0.044456
     0.434952    0.044742
     0.423856    0.044992
     0.412736    0.045211
     0.401635    0.045402
     0.390568    0.045553
     0.379491    0.045658
     0.368388    0.045727
     0.357305    0.045760
     0.346263    0.045744
     0.335210    0.045675
     0.324122    0.045561
     0.313057    0.045405
     0.302040    0.045196
     0.291006    0.044924
     0.279924    0.044603
     0.268862    0.044242
     0.257853    0.043827
     0.246848    0.043346
     0.235836    0.042804
     0.224857    0.042197
     0.213893    0.041515
     0.202917    0.040760
     0.191974    0.039935
     0.181066    0.039026
     0.170152    0.038028
     0.159267    0.036947
     0.148422    0.035771
     0.137577    0.034493
     0.126779    0.033120
     0.116030    0.031633
     0.105304    0.030029
     0.094665    0.028304
     0.084056    0.026434
     0.073513    0.024424
     0.063060    0.022260
     0.052788    0.019936
     0.042725    0.017401
     0.032912    0.014635
     0.023579    0.011637
     0.014723    0.008326
     0.007859    0.005369
     0.004405    0.003665
     0.002726    0.002740
     0.001718    0.002112
     0.001035    0.001625
     0.000548    0.001204
     0.000215    0.000810
     0.000034    0.000426
     0.000012    0.000049
     0.000165   -0.000310
     0.000499   -0.000629
     0.000997   -0.000882
     0.001661   -0.001074
     0.002553   -0.001207
     0.003830   -0.001273
     0.005966   -0.001245
     0.010422   -0.001046
     0.018084   -0.000579
     0.027859    0.000147
     0.038761    0.001108
     0.049735    0.002203
     0.060495    0.003363
     0.071434    0.004592
     0.082350    0.005831
     0.093319    0.007051
     0.104326    0.008224
     0.115253    0.009337
     0.126227    0.010403
     0.137227    0.011423
     0.148170    0.012390
     0.159127    0.013311
     0.170135    0.014192
     0.181118    0.015030
     0.192073    0.015831
     0.203072    0.016607
     0.214109    0.017363
     0.225118    0.018101
     0.236108    0.018827
     0.247134    0.019552
     0.258198    0.020280
     0.269241    0.021016
     0.280253    0.021761
     0.291277    0.022514
     0.302332    0.023271
     0.313384    0.024023
     0.324410    0.024763
     0.335432    0.025486
     0.346481    0.026188
     0.357548    0.026863
     0.368599    0.027508
     0.379637    0.028126
     0.390691    0.028723
     0.401774    0.029304
     0.412868    0.029870
     0.423950    0.030425
     0.435032    0.030972
     0.446143    0.031514
     0.457274    0.032026
     0.468389    0.032472
     0.479470    0.032817
     0.490539    0.033029
     0.501641    0.033074
     0.512775    0.032931
     0.523894    0.032764
     0.534994    0.032568
     0.546098    0.032338
     0.557225    0.032081
     0.568358    0.031802
     0.579472    0.031499
     0.590571    0.031166
     0.601680    0.030803
     0.612808    0.030413
     0.623932    0.030003
     0.635035    0.029567
     0.646131    0.029100
     0.657243    0.028604
     0.668366    0.028085
     0.679471    0.027542
     0.690560    0.026970
     0.701658    0.026366
     0.712774    0.025737
     0.723882    0.025086
     0.734966    0.024407
     0.746052    0.023697
     0.757158    0.022958
     0.768261    0.022197
     0.779340    0.021409
     0.790421    0.020590
     0.801522    0.019745
     0.812612    0.018876
     0.823677    0.017978
     0.834749    0.017049
     0.845832    0.016089
     0.856887    0.015104
     0.867935    0.014081
     0.879001    0.013025
     0.890046    0.011941
     0.901087    0.010819
     0.912162    0.009665
     0.923217    0.008489
     0.934294    0.007284
     0.945369    0.006065
     0.956436    0.004823
     0.967501    0.003566
     0.978565    0.002286
     0.989474    0.001006
     0.997509    0.000052
     1.000000   -0.000248
