  SD2083 (9.0%)
  1.00000  0.0
  0.99669  0.00035
  0.98686  0.00152
  0.97089  0.00374
  0.94929  0.00716
  0.92265  0.01176
  0.89158  0.01741
  0.85666  0.02384
  0.81846  0.03078
  0.77745  0.03791
  0.73412  0.04489
  0.68886  0.05146
  0.64208  0.05737
  0.59415  0.06243
  0.54546  0.06655
  0.49645  0.06964
  0.44755  0.07162
  0.39913  0.07251
  0.35168  0.07236
  0.30568  0.07121
  0.26160  0.06908
  0.21990  0.06601
  0.18101  0.06203
  0.14532  0.05718
  0.11313  0.05143
  0.08464  0.04489
  0.06004  0.03772
  0.03952  0.03010
  0.02319  0.02224
  0.01113  0.01440
  0.00338  0.00698
  0.00003  0.00060
  0.00220 -0.00437
  0.01032 -0.00853
  0.02369 -0.01213
  0.04234 -0.01491
  0.06624 -0.01696
  0.09515 -0.01844
  0.12868 -0.01937
  0.16649 -0.01977
  0.20818 -0.01970
  0.25331 -0.01921
  0.30137 -0.01837
  0.35182 -0.01725
  0.40406 -0.01592
  0.45750 -0.01439
  0.51157 -0.01274
  0.56563 -0.01105
  0.61905 -0.00939
  0.67117 -0.00782
  0.72136 -0.00637
  0.76901 -0.00509
  0.81350 -0.00397
  0.85428 -0.00304
  0.89084 -0.00226
  0.92270 -0.00157
  0.94955 -0.00094
  0.97108 -0.00044
  0.98693 -0.00015
  0.99670 -0.00004
  1.00000  0.00000
