HN-477S	 Norbert Habbe Leitwerke-Aile volante
1.00000	0.00000
0.99901	0.00004
0.99606	0.00021
0.99114	0.00054
0.98429	0.00107
0.97553	0.00183
0.96489	0.00275
0.95241	0.00381
0.93815	0.00499
0.92216	0.00629
0.90451	0.00774
0.88526	0.00935
0.86448	0.01113
0.84227	0.01307
0.81871	0.01516
0.79389	0.01740
0.76791	0.01976
0.74088	0.02222
0.71289	0.02478
0.68406	0.02740
0.65451	0.03005
0.62435	0.03270
0.59369	0.03532
0.56267	0.03787
0.53140	0.04030
0.50000	0.04259
0.46861	0.04471
0.43733	0.04661
0.40631	0.04829
0.37566	0.04969
0.34549	0.05079
0.31594	0.05155
0.28711	0.05194
0.25912	0.05196
0.23209	0.05157
0.20611	0.05075
0.18129	0.04951
0.15773	0.04783
0.13552	0.04570
0.11474	0.04315
0.09549	0.04018
0.07784	0.03686
0.06185	0.03322
0.04759	0.02930
0.03511	0.02514
0.02447	0.02080
0.01571	0.01637
0.00886	0.01194
0.00394	0.00757
0.00099	0.00351
0.00000	0.00000
0.00099	-0.00351
0.00394	-0.00757
0.00886	-0.01194
0.01571	-0.01637
0.02447	-0.02080
0.03511	-0.02514
0.04759	-0.02930
0.06185	-0.03322
0.07784	-0.03686
0.09549	-0.04018
0.11474	-0.04315
0.13552	-0.04570
0.15773	-0.04783
0.18129	-0.04951
0.20611	-0.05075
0.23209	-0.05157
0.25912	-0.05196
0.28711	-0.05194
0.31594	-0.05155
0.34549	-0.05079
0.37566	-0.04969
0.40631	-0.04829
0.43733	-0.04661
0.46861	-0.04471
0.50000	-0.04259
0.53140	-0.04030
0.56267	-0.03787
0.59369	-0.03532
0.62435	-0.03270
0.65451	-0.03005
0.68406	-0.02740
0.71289	-0.02478
0.74088	-0.02222
0.76791	-0.01976
0.79389	-0.01740
0.81871	-0.01516
0.84227	-0.01307
0.86448	-0.01113
0.88526	-0.00935
0.90451	-0.00774
0.92216	-0.00629
0.93815	-0.00499
0.95241	-0.00381
0.96489	-0.00275
0.97553	-0.00183
0.98429	-0.00107
0.99114	-0.00054
0.99606	-0.00021
0.99901	-0.00004
1.00000	0.00000
