MH 16	Martin Hepperle Designed for pylon racing   
1.000000   0.000000	   
0.959588   0.008495	   
0.924641   0.016525	   
0.893669   0.024029	   
0.865405   0.030962	   
0.838804   0.037295	   
0.813045   0.043015	   
0.787530   0.048126	   
0.761885   0.052646	   
0.735957   0.056609	   
0.709812   0.060067	   
0.683638   0.063074	   
0.657607   0.065684	   
0.631857   0.067939	   
0.606496   0.069877	   
0.581596   0.071527	   
0.557197   0.072912	   
0.533305   0.074048	   
0.509893   0.074943	   
0.486902   0.075598	   
0.464255   0.076010	   
0.441890   0.076178	   
0.419762   0.076104	   
0.397852   0.075792	   
0.376154   0.075249	   
0.354689   0.074487	   
0.333493   0.073519	   
0.312625   0.072359	   
0.292163   0.071029	   
0.272198   0.069547	   
0.252813   0.067932	   
0.234077   0.066200	   
0.216044   0.064359	   
0.198754   0.062419	   
0.182234   0.060383	   
0.166494   0.058252	   
0.151534   0.056021	   
0.137336   0.053685	   
0.123872   0.051234	   
0.111117   0.048664	   
0.099050   0.045975	   
0.087660   0.043174	   
0.076942   0.040276	   
0.066899   0.037298	   
0.057539   0.034267	   
0.048879   0.031215	   
0.040943   0.028181	   
0.033758   0.025206	   
0.027348   0.022331	   
0.021720   0.019588	   
0.016867   0.017002	   
0.012769   0.014589	   
0.009392   0.012358	   
0.006686   0.010310	   
0.004589   0.008437	   
0.003021   0.006725	   
0.001895   0.005150	   
0.001125   0.003688	   
0.000647   0.002313	   
0.000419   0.001001	   
0.000419  -0.000273	   
0.000647  -0.001531	   
0.001125  -0.002796	   
0.001895  -0.004090	   
0.003021  -0.005434	   
0.004589  -0.006848	   
0.006686  -0.008349	   
0.009392  -0.009949	   
0.012769  -0.011654	   
0.016867  -0.013461	   
0.021720  -0.015365	   
0.027348  -0.017351	   
0.033758  -0.019401	   
0.040943  -0.021489	   
0.048879  -0.023583	   
0.057539  -0.025650	   
0.066899  -0.027660	   
0.076942  -0.029589	   
0.087660  -0.031416	   
0.099050  -0.033128	   
0.111117  -0.034714	   
0.123872  -0.036171	   
0.137336  -0.037499	   
0.151534  -0.038704	   
0.166494  -0.039795	   
0.182234  -0.040780	   
0.198754  -0.041666	   
0.216044  -0.042458	   
0.234077  -0.043158	   
0.252813  -0.043770	   
0.272198  -0.044292	   
0.292163  -0.044724	   
0.312625  -0.045061	   
0.333493  -0.045299	   
0.354689  -0.045433	   
0.376154  -0.045459	   
0.397852  -0.045371	   
0.419762  -0.045166	   
0.441890  -0.044838	   
0.464255  -0.044385	   
0.486902  -0.043802	   
0.509893  -0.043086	   
0.533305  -0.042232	   
0.557197  -0.041239	   
0.581596  -0.040105	   
0.606496  -0.038831	   
0.631857  -0.037417	   
0.657607  -0.035867	   
0.683638  -0.034183	   
0.709812  -0.032372	   
0.735957  -0.030438	   
0.761885  -0.028389	   
0.787530  -0.026210	   
0.813045  -0.023860	   
0.838804  -0.021267	   
0.865405  -0.018328	   
0.893669  -0.014910	   
0.924641  -0.010850	   
0.959588  -0.005954	   
1.000000   0.000000	
   
Designed for pylon racing model aircraft (Q500 class)	   	   
http://www.mh-aerotools.de/airfoils/mh16koo.htm	   
Characteristics	   
Thickness: 12.13%	   
Larger moment coefficient cm c/4 than e.g. MH 18, but similar to MH 27.	   
Well suited for the Quickie 500.	   
Can be used at Reynolds numbers of 300'000 and above.	   
Developed for lift coefficients between -0.1 and 0.6.	   
General remark: The potential for the reduction of the minimum drag is only very small, as the older airfoils were already close to the optimum. Improvements are mainly possible in the behavior and the width of the low drag bucket.	   
See also MH 17, MH 18, MH 18B, MH 20, MH 22, MH 27.	 
