FAD13 (c)Franck.Aguerre Pour planeur rapide  volets de courbure type F3I
1.00000    0.00005
0.97559    0.00351
0.94307    0.00788
0.90375    0.01288
0.85895    0.01845
0.80998    0.02446
0.75811    0.03042
0.70470    0.03652
0.65104    0.04233
0.59842    0.04772
0.54814    0.05234
0.50106    0.05620
0.45711    0.05928
0.41612    0.06193
0.37792    0.06375
0.34234    0.06493
0.30920    0.06565
0.27833    0.06566
0.24958    0.06504
0.22274    0.06397
0.19765    0.06251
0.17423    0.06052
0.15245    0.05800
0.13225    0.05519
0.11363    0.05210
0.09657    0.04870
0.08107    0.04502
0.06709    0.04112
0.05462    0.03711
0.04361    0.03308
0.03406    0.02908
0.02591    0.02512
0.01910    0.02122
0.01353    0.01742
0.00911    0.01381
0.00569    0.01046
0.00316    0.00742
0.00139    0.00469
0.00035    0.00222
0.00000    0.00000
0.00046    -0.00236
0.00185    -0.00466
0.00414    -0.00684
0.00734    -0.00896
0.01152    -0.01102
0.01676    -0.01300
0.02312    -0.01490
0.03067    -0.01668
0.03951    -0.01828
0.04969    -0.01973
0.06127    -0.02110
0.07425    -0.02239
0.08867    -0.02361
0.10456    -0.02467
0.12196    -0.02553
0.14088    -0.02619
0.16135    -0.02672
0.18338    -0.02715
0.20701    -0.02739
0.23226    -0.02739
0.25916    -0.02714
0.28773    -0.02668
0.31799    -0.02594
0.34996    -0.02507
0.38369    -0.02401
0.41918    -0.02269
0.45645    -0.02130
0.49555    -0.01990
0.53646    -0.01819
0.57921    -0.01615
0.62359    -0.01411
0.66930    -0.01214
0.71601    -0.01012
0.76342    -0.00820
0.81121    -0.00595
0.85908    -0.00386
0.90671    -0.00201
0.95379    -0.00065
1.00000    -0.00005
