MS2.5/11GPV  Flapped scale sailplane (c)m_scherrer
     1.000000    0.000373
     0.993201    0.001329
     0.980131    0.003191
     0.964123    0.005501
     0.947569    0.007920
     0.930748    0.010400
     0.913781    0.012921
     0.896878    0.015467
     0.880014    0.018057
     0.863166    0.020703
     0.846322    0.023409
     0.829441    0.026173
     0.812481    0.028984
     0.795521    0.031798
     0.778614    0.034585
     0.761718    0.037342
     0.744829    0.040064
     0.727958    0.042747
     0.711106    0.045379
     0.694267    0.047955
     0.677414    0.050478
     0.660542    0.052949
     0.643673    0.055366
     0.626830    0.057722
     0.610037    0.059999
     0.593291    0.062180
     0.576560    0.064258
     0.559840    0.066229
     0.543130    0.068086
     0.526439    0.069823
     0.509774    0.071427
     0.493119    0.072894
     0.476452    0.074221
     0.459769    0.075412
     0.443088    0.076467
     0.426433    0.077375
     0.409803    0.078124
     0.393156    0.078713
     0.376464    0.079149
     0.359757    0.079443
     0.343077    0.079592
     0.326453    0.079588
     0.309919    0.079412
     0.293471    0.079040
     0.277038    0.078463
     0.260592    0.077685
     0.244185    0.076712
     0.227833    0.075534
     0.211525    0.074144
     0.195312    0.072546
     0.179327    0.070724
     0.163598    0.068623
     0.148065    0.066197
     0.132708    0.063430
     0.117572    0.060313
     0.102729    0.056832
     0.088265    0.052963
     0.074264    0.048686
     0.060813    0.043993
     0.048227    0.039002
     0.037025    0.033877
     0.027549    0.028773
     0.019973    0.023976
     0.014228    0.019717
     0.009985    0.016012
     0.006863    0.012780
     0.004544    0.009948
     0.002800    0.007452
     0.001502    0.005213
     0.000597    0.003156
     0.000097    0.001228
     0.000027   -0.000622
     0.000449   -0.002481
     0.001453   -0.004350
     0.003022   -0.006129
     0.005138   -0.007846
     0.007842   -0.009552
     0.011273   -0.011311
     0.015691   -0.013166
     0.021509   -0.015147
     0.029303   -0.017262
     0.039603   -0.019453
     0.052408   -0.021603
     0.066967   -0.023538
     0.082547   -0.025189
     0.098607   -0.026561
     0.114931   -0.027659
     0.131518   -0.028537
     0.148289   -0.029252
     0.165123   -0.029825
     0.181987   -0.030255
     0.198914   -0.030559
     0.215914   -0.030761
     0.232968   -0.030880
     0.250050   -0.030926
     0.267154   -0.030905
     0.284272   -0.030821
     0.301385   -0.030676
     0.318480   -0.030466
     0.335556   -0.030190
     0.352613   -0.029845
     0.369648   -0.029428
     0.386654   -0.028934
     0.403646   -0.028357
     0.420648   -0.027691
     0.437697   -0.026946
     0.454815   -0.026138
     0.471972   -0.025284
     0.489140   -0.024391
     0.506307   -0.023460
     0.523466   -0.022490
     0.540626   -0.021481
     0.557800   -0.020435
     0.574993   -0.019355
     0.592209   -0.018250
     0.609448   -0.017126
     0.626699   -0.015989
     0.643942   -0.014850
     0.661169   -0.013711
     0.678382   -0.012579
     0.695581   -0.011457
     0.712758   -0.010349
     0.729904   -0.009263
     0.747018   -0.008208
     0.764100   -0.007193
     0.781150   -0.006228
     0.798174   -0.005319
     0.815191   -0.004473
     0.832175   -0.003695
     0.849123   -0.002999
     0.866088   -0.002391
     0.883040   -0.001866
     0.900012   -0.001430
     0.917070   -0.001060
     0.934149   -0.000718
     0.951064   -0.000381
     0.967237   -0.000109
     0.981583   -0.000047
     0.993395   -0.000203
     1.000000   -0.000373

1.000031-->1.00  + supression : dans titre JCE22/05/20006
