S8021 (7.6%)
    1.000000000000000000  0.000285000283689453
    0.996771998537498205  0.000445632088021913
    0.987337675185626540  0.001049051855963937
    0.972106436606382962  0.002069195705475031
    0.951352426369749815  0.003419285739561682
    0.925318538638069676  0.005077369204262415
    0.894344422406264217  0.007101580744604812
    0.858873514541994454  0.009486021663437772
    0.819394364712439538  0.012201773722489446
    0.776437211525692228  0.015186310662105790
    0.730571466511759526  0.018352423207480300
    0.682344664321384631  0.021541280904134753
    0.632272105984477251  0.024650674642587852
    0.580907021741075558  0.027622844844060097
    0.528833433877581305  0.030378220009368358
    0.476631290398011997  0.032826263733706784
    0.424872985657814062  0.034893925344272561
    0.374116327845614549  0.036486769188676042
    0.324899047011134146  0.037543651207653614
    0.277733590986096623  0.037991838189761616
    0.233099354872232212  0.037785257625919666
    0.191441266570685165  0.036874553519781687
    0.153159597879007570  0.035240365377152402
    0.118613677160294251  0.032863648036007657
    0.088108048471700284  0.029760605154112656
    0.061905308798383740  0.025949206851329284
    0.040213238424557152  0.021488372322367003
    0.023155783864164392  0.016368613000925764
    0.010672746417983991  0.010753688029206846
    0.002774282246548632  0.005045370957529506
    0.000000000000000000  0.000000000000000000
    0.002774282246548632 -0.005045370957529506
    0.010672746417983991 -0.010753688029206846
    0.023155783864164392 -0.016368613000925764
    0.040213238424557152 -0.021488372322367003
    0.061905308798383740 -0.025949206851329284
    0.088108048471700284 -0.029760605154112656
    0.118613677160294251 -0.032863648036007657
    0.153159597879007570 -0.035240365377152402
    0.191441266570685165 -0.036874553519781687
    0.233099354872232212 -0.037785257625919666
    0.277733590986096623 -0.037991838189761616
    0.324899047011134146 -0.037543651207653614
    0.374116327845614549 -0.036486769188676042
    0.424872985657814062 -0.034893925344272561
    0.476631290398011997 -0.032826263733706784
    0.528833433877581305 -0.030378220009368358
    0.580907021741075558 -0.027622844844060097
    0.632272105984477251 -0.024650674642587852
    0.682344664321384631 -0.021541280904134753
    0.730571466511759526 -0.018352423207480300
    0.776437211525692228 -0.015186310662105790
    0.819394364712439538 -0.012201773722489446
    0.858873514541994454 -0.009486021663437772
    0.894344422406264217 -0.007101580744604812
    0.925318538638069676 -0.005077369204262415
    0.951352426369749815 -0.003419285739561682
    0.972106436606382962 -0.002069195705475031
    0.987337675185626540 -0.001049051855963937
    0.996771998537498205 -0.000445632088021913
    1.000000000000000000 -0.000285000283689453

