HN-707	 Norbert Habbe F3B
1.00000	0.00000
0.99901	0.00014
0.99606	0.00062
0.99114	0.00145
0.98429	0.00266
0.97553	0.00422
0.96489	0.00605
0.95241	0.00811
0.93815	0.01033
0.92216	0.01272
0.90451	0.01528
0.88526	0.01800
0.86448	0.02084
0.84227	0.02378
0.81871	0.02678
0.79389	0.02981
0.76791	0.03285
0.74088	0.03586
0.71289	0.03881
0.68406	0.04166
0.65451	0.04440
0.62435	0.04699
0.59369	0.04940
0.56267	0.05161
0.53140	0.05359
0.50000	0.05531
0.46861	0.05676
0.43733	0.05790
0.40631	0.05873
0.37566	0.05921
0.34549	0.05935
0.31594	0.05912
0.28711	0.05852
0.25912	0.05755
0.23209	0.05620
0.20611	0.05446
0.18129	0.05237
0.15773	0.04991
0.13552	0.04711
0.11474	0.04397
0.09549	0.04053
0.07784	0.03681
0.06185	0.03285
0.04759	0.02868
0.03511	0.02435
0.02447	0.01990
0.01571	0.01542
0.00886	0.01104
0.00394	0.00683
0.00099	0.00304
0.00000	0.00000
0.00099	-0.00250
0.00394	-0.00516
0.00886	-0.00775
0.01571	-0.01019
0.02447	-0.01252
0.03511	-0.01471
0.04759	-0.01666
0.06185	-0.01838
0.07784	-0.01987
0.09549	-0.02112
0.11474	-0.02213
0.13552	-0.02291
0.15773	-0.02346
0.18129	-0.02380
0.20611	-0.02394
0.23209	-0.02388
0.25912	-0.02364
0.28711	-0.02324
0.31594	-0.02268
0.34549	-0.02198
0.37566	-0.02115
0.40631	-0.02020
0.43733	-0.01916
0.46861	-0.01802
0.50000	-0.01679
0.53140	-0.01547
0.56267	-0.01405
0.59369	-0.01253
0.62435	-0.01093
0.65451	-0.00932
0.68406	-0.00774
0.71289	-0.00623
0.74088	-0.00482
0.76791	-0.00351
0.79389	-0.00234
0.81871	-0.00132
0.84227	-0.00045
0.86448	0.00027
0.88526	0.00082
0.90451	0.00121
0.92216	0.00145
0.93815	0.00154
0.95241	0.00150
0.96489	0.00135
0.97553	0.00112
0.98429	0.00083
0.99114	0.00053
0.99606	0.00026
0.99901	0.00007
1.00000	0.00000
