AS5045 (15%)
1.0000 .00125
.99810 .00168
.99262 .00289
.98385 .00461
.97186 .00684
.95690 .00935
.93892 .01196
.91780 .01477
.89367 .01788
.86673 .02140
.83721 .02541
.80536 .03000
.77153 .03526
.73615 .04132
.69982 .04811
.66317 .05543
.62680 .06283
.59096 .06923
.55516 .07433
.51913 .07831
.48292 .08123
.44664 .08325
.41052 .08449
.37479 .08499
.33967 .08478
.30537 .08387
.27211 .08229
.24008 .08005
.20946 .07717
.18043 .07367
.15315 .06959
.12777 .06496
.10446 .05981
.08330 .05416
.06436 .04806
.04778 .04161
.03361 .03483
.02185 .02787
.01263 .02078
.00593 .01366
.00173 .00668
.00000 .00008
.00109 -.00530
.00587 -.00990
.01434 -.01476
.02592 -.01980
.04036 -.02496
.05747 -.03017
.07703 -.03536
.09884 -.04037
.12277 -.04507
.14872 -.04937
.17657 -.05321
.20618 -.05657
.23735 -.05943
.26989 -.06175
.30359 -.06349
.33826 -.06458
.37369 -.06501
.40968 -.06473
.44597 -.06373
.48229 -.06181
.51861 -.05884
.55478 -.05472
.59103 -.04922
.62759 -.04265
.66456 -.03535
.70215 -.02815
.73949 -.02165
.77577 -.01601
.81059 -.01127
.84351 -.00739
.87413 -.00440
.90208 -.00224
.92701 -.00085
.94861 -.00008
.96671 .00018 
.98110 .00002
.99155 -.00045
.99786 -.00099
1.0000 -.00125
http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/
