SB99blkr Emplanture blanick  Aerotech
1.000000    0.001453
0.985959    0.003478
0.950674    0.008544
0.906770    0.015143
0.861956    0.021668
0.816872    0.027908
0.771651    0.033938
0.722664    0.039675
0.681694    0.045046
0.636815    0.050031
0.592059    0.054577
0.547398    0.058624
0.502747    0.062151
0.458229    0.065131
0.414063    0.067446
0.370237    0.068963
0.326740    0.069585
0.283763    0.069179
0.241394    0.067585
0.199749    0.064634
0.159006    0.060181
0.119797    0.054087
0.083420    0.046284
0.052822    0.037280
0.031438    0.028628
0.018434    0.021582
0.010520    0.015976
0.005470    0.011257
0.002254    0.007039
0.000481    0.003101
0.000029   -0.000576
0.000905   -0.004235
0.003341   -0.007796
0.007429   -0.011064
0.013501   -0.014168
0.022707   -0.017413
0.037912   -0.021111
0.063821   -0.025141
0.100381   -0.028457
0.141856   -0.030458
0.185161   -0.031362
0.229439   -0.031454
0.274295   -0.030969
0.319461   -0.030045
0.364836   -0.028768
0.410345   -0.027205
0.455867   -0.025392
0.501232   -0.023306
0.546503   -0.020901
0.591754   -0.018146
0.637271   -0.015072
0.683192   -0.011830
0.728957   -0.008660
0.774420   -0.005708
0.819569   -0.003078
0.863464   -0.001015
0.906931   -0.000027
0.950459   -0.000218
0.985887   -0.000095
1.000000    0.000000

"gerard barreau" <gbarreau@tele2.fr> 20/12/03
