Rs001t	(c)Reinhard Sielemann
1.000000	0.000000
0.997260	0.000110
0.989070	0.000505
0.975530	0.001300
0.956770	0.002525
0.933010	0.004165
0.904510	0.006260
0.871570	0.008855
0.834570	0.011910
0.793890	0.015335
0.750000	0.019120
0.703370	0.023195
0.654510	0.027390
0.603960	0.031600
0.552260	0.035800
0.500000	0.039780
0.447740	0.043200
0.396040	0.045905
0.345490	0.047875
0.296630	0.048995
0.250000	0.049135
0.206110	0.048215
0.165430	0.046175
0.128430	0.042995
0.095490	0.038675
0.066990	0.033290
0.043230	0.027045
0.024470	0.020210
0.010930	0.013035
0.002740	0.006155
0.000000	0.000000
0.002740	-0.006155
0.010930	-0.013035
0.024470	-0.020210
0.043230	-0.027045
0.066990	-0.033290
0.095490	-0.038675
0.128430	-0.042995
0.165430	-0.046175
0.206110	-0.048215
0.250000	-0.049135
0.296630	-0.048995
0.345490	-0.047875
0.396040	-0.045905
0.447740	-0.043200
0.500000	-0.039780
0.552260	-0.035800
0.603960	-0.031600
0.654510	-0.027390
0.703370	-0.023195
0.750000	-0.019120
0.793890	-0.015335
0.834570	-0.011910
0.871570	-0.008855
0.904510	-0.006260
0.933010	-0.004165
0.956770	-0.002525
0.975530	-0.001300
0.989070	-0.000505
0.997260	-0.000110
1.000000	0.000000
