SB95  9.5/2 (RCM 12/98)
1.000000   -0.000039
0.986293    0.001732
0.951025    0.006338
0.907744    0.012333
0.863344    0.018788
0.818582    0.025394
0.774075    0.031860
0.729973    0.038008
0.686176    0.043693
0.642570    0.048833
0.599079    0.053354
0.555535    0.057245
0.511981    0.060512
0.468531    0.063109
0.425214    0.064982
0.382077    0.066070
0.339148    0.066303
0.296484    0.065609
0.254166    0.063909
0.212366    0.061099
0.171341    0.057049
0.131538    0.051595
0.093807    0.044575
0.060202    0.036101
0.035099    0.027536
0.020038    0.020670
0.011266    0.015407
0.005806    0.011033
0.002372    0.007046
0.000499    0.003223
0.000007   -0.000390
0.000837   -0.003985
0.003236   -0.007463
0.007354   -0.010570
0.013578   -0.013470
0.023325   -0.016558
0.040283   -0.020206
0.069445   -0.024239
0.107756   -0.027451
0.149339   -0.029429
0.192181   -0.030414
0.235697   -0.030627
0.279664   -0.030235
0.323946   -0.029359
0.368479   -0.028100
0.413180   -0.026536
0.458022   -0.024720
0.502980   -0.022704
0.548041   -0.020530
0.593186   -0.018235
0.638406   -0.015847
0.683722   -0.013407
0.728961   -0.010997
0.773987   -0.008698
0.818784   -0.006598
0.863260   -0.004795
0.903797   -0.003417
0.950720   -0.002546
0.986180   -0.002182
1.000000   -0.002063
p= 9.5 alfa0= -2.1 Cm0= -0.05 CZmax= 1.05
