HN-484	 Norbert Habbe F3F
1.00000	0.00000
0.99901	0.00012
0.99606	0.00052
0.99114	0.00124
0.98429	0.00228
0.97553	0.00362
0.96489	0.00521
0.95241	0.00700
0.93815	0.00893
0.92216	0.01102
0.90451	0.01327
0.88526	0.01567
0.86448	0.01819
0.84227	0.02079
0.81871	0.02346
0.79389	0.02617
0.76791	0.02889
0.74088	0.03159
0.71289	0.03424
0.68406	0.03682
0.65451	0.03929
0.62435	0.04164
0.59369	0.04383
0.56267	0.04583
0.53140	0.04763
0.50000	0.04920
0.46861	0.05052
0.43733	0.05157
0.40631	0.05235
0.37566	0.05282
0.34549	0.05299
0.31594	0.05283
0.28711	0.05235
0.25912	0.05153
0.23209	0.05038
0.20611	0.04889
0.18129	0.04707
0.15773	0.04493
0.13552	0.04247
0.11474	0.03971
0.09549	0.03667
0.07784	0.03337
0.06185	0.02984
0.04759	0.02612
0.03511	0.02223
0.02447	0.01822
0.01571	0.01418
0.00886	0.01020
0.00394	0.00638
0.00099	0.00284
0.00000	0.00000
0.00099	-0.00246
0.00394	-0.00501
0.00886	-0.00756
0.01571	-0.00999
0.02447	-0.01232
0.03511	-0.01450
0.04759	-0.01645
0.06185	-0.01821
0.07784	-0.01974
0.09549	-0.02105
0.11474	-0.02214
0.13552	-0.02300
0.15773	-0.02366
0.18129	-0.02412
0.20611	-0.02437
0.23209	-0.02445
0.25912	-0.02434
0.28711	-0.02408
0.31594	-0.02365
0.34549	-0.02309
0.37566	-0.02238
0.40631	-0.02156
0.43733	-0.02062
0.46861	-0.01957
0.50000	-0.01843
0.53140	-0.01718
0.56267	-0.01582
0.59369	-0.01434
0.62435	-0.01278
0.65451	-0.01118
0.68406	-0.00961
0.71289	-0.00809
0.74088	-0.00663
0.76791	-0.00529
0.79389	-0.00405
0.81871	-0.00295
0.84227	-0.00199
0.86448	-0.00117
0.88526	-0.00050
0.90451	0.00003
0.92216	0.00040
0.93815	0.00064
0.95241	0.00075
0.96489	0.00076
0.97553	0.00068
0.98429	0.00054
0.99114	0.00036
0.99606	0.00018
0.99901	0.00005
1.00000	0.00000
