NM32 S  saumon pour un planeur de 4m (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-grand-planeur/nm-32.html
 1.00000     0.00018
 0.99327     0.00129
 0.98096     0.00334
 0.96660     0.00575
 0.95118     0.00834
 0.93538     0.01092
 0.91936     0.01346
 0.90319     0.01597
 0.88696     0.01849
 0.87070     0.02101
 0.85444     0.02350
 0.83818     0.02600
 0.82196     0.02848
 0.80579     0.03093
 0.78966     0.03334
 0.77351     0.03569
 0.75734     0.03801
 0.74115     0.04030
 0.72496     0.04255
 0.70880     0.04478
 0.69264     0.04695
 0.67648     0.04907
 0.66033     0.05115
 0.64417     0.05320
 0.62804     0.05520
 0.61196     0.05714
 0.59590     0.05901
 0.57987     0.06081
 0.56384     0.06254
 0.54781     0.06420
 0.53179     0.06578
 0.51579     0.06729
 0.49980     0.06872
 0.48379     0.07006
 0.46774     0.07129
 0.45165     0.07244
 0.43558     0.07348
 0.41959     0.07443
 0.40369     0.07530
 0.38783     0.07606
 0.37193     0.07672
 0.35598     0.07724
 0.34004     0.07764
 0.32420     0.07792
 0.30847     0.07805
 0.29284     0.07804
 0.27722     0.07787
 0.26159     0.07752
 0.24597     0.07698
 0.23039     0.07623
 0.21491     0.07530
 0.19960     0.07419
 0.18450     0.07284
 0.16957     0.07121
 0.15475     0.06925
 0.14006     0.06695
 0.12560     0.06431
 0.11146     0.06135
 0.09768     0.05803
 0.08432     0.05431
 0.07146     0.05017
 0.05927     0.04567
 0.04804     0.04093
 0.03809     0.03618
 0.02969     0.03161
 0.02286     0.02732
 0.01743     0.02339
 0.01316     0.01986
 0.00980     0.01670
 0.00715     0.01386
 0.00504     0.01123
 0.00339     0.00895
 0.00211     0.00655
 0.00112     0.00514
 0.00043     0.00276
 0.00007     0.00011
 0.00006    -0.00004
 0.00046    -0.00268
 0.00127    -0.00468
 0.00248    -0.00594
 0.00411    -0.00775
 0.00616    -0.00943
 0.00868    -0.01116
 0.01175    -0.01293
 0.01553    -0.01475
 0.02022    -0.01669
 0.02609    -0.01872
 0.03348    -0.02085
 0.04269    -0.02302
 0.05381    -0.02517
 0.06656    -0.02718
 0.08045    -0.02895
 0.09499    -0.03039
 0.10993    -0.03152
 0.12516    -0.03237
 0.14066    -0.03300
 0.15636    -0.03342
 0.17219    -0.03364
 0.18807    -0.03369
 0.20397    -0.03363
 0.21991    -0.03345
 0.23591    -0.03317
 0.25198    -0.03277
 0.26809    -0.03227
 0.28421    -0.03167
 0.30037    -0.03101
 0.31657    -0.03033
 0.33282    -0.02962
 0.34907    -0.02888
 0.36531    -0.02808
 0.38157    -0.02719
 0.39782    -0.02628
 0.41410    -0.02534
 0.43044    -0.02441
 0.44686    -0.02349
 0.46329    -0.02256
 0.47966    -0.02159
 0.49597    -0.02059
 0.51223    -0.01955
 0.52851    -0.01847
 0.54482    -0.01739
 0.56118    -0.01628
 0.57759    -0.01516
 0.59403    -0.01405
 0.61049    -0.01297
 0.62694    -0.01191
 0.64341    -0.01088
 0.65986    -0.00986
 0.67628    -0.00885
 0.69267    -0.00789
 0.70903    -0.00695
 0.72539    -0.00608
 0.74177    -0.00521
 0.75815    -0.00438
 0.77451    -0.00358
 0.79085    -0.00281
 0.80714    -0.00209
 0.82339    -0.00144
 0.83960    -0.00086
 0.85578    -0.00035
 0.87194     0.00009
 0.88806     0.00044
 0.90414     0.00070
 0.92021     0.00090
 0.93616     0.00099
 0.95182     0.00096
 0.96693     0.00080
 0.98100     0.00047
 0.99321     0.00006
 1.00000    -0.00023

http://kipecoul.e-monsite.com/pages/profil-grand-planeur/nm-32.html
