MG06 (c)Marcel Guwang volets a 30%
1	0
0.9968	0.000100002
0.98745	0.000503073
0.9722	0.001401403
0.9513	0.002807158
0.9251	0.004723925
0.8938	0.00716284
0.8581	0.010236894
0.8183	0.013959859
0.7752	0.01824146
0.7291	0.023073397
0.6809	0.028318704
0.6312	0.033720824
0.5808	0.039066302
0.5304	0.043883344
0.4804	0.047775115
0.4307	0.050961099
0.3819	0.053405104
0.33405	0.055124873
0.2876	0.056018461
0.24358	0.055940037
0.2024	0.054836831
0.16442	0.052680119
0.12993	0.049453821
0.09921	0.045164948
0.07244	0.039882701
0.04978	0.033699598
0.0313	0.026763013
0.01702	0.019318368
0.0069	0.01162968
0.0009	0.003103937
0	0
0.0005	-0.0017
0.0059	-0.0055
0.0165	-0.0093
0.032	-0.0126
0.0524	-0.0152
0.0778	-0.0171
0.1078	-0.0182
0.1423	-0.0188
0.1811	-0.01881
0.2236	-0.0183
0.2695	-0.0176
0.3181	-0.0167
0.3689	-0.0157
0.4213	-0.0146
0.4746	-0.0134
0.5282	-0.0121
0.5816	-0.0109
0.634	-0.0096
0.6849	-0.0084
0.7337	-0.0073
0.7798	-0.0062
0.8227	-0.0052
0.8619	-0.0043
0.8963	-0.0034
0.9272	-0.0026
0.9526	-0.0019
0.9728	-0.0011
0.9876	-0.0004
0.9968	-0.0001
1	0

Mais je tiens a preciser que ce profil necessite des volets a 30% de
corde et que sans c'est pas la peine d'essayer
epaisseur relative 	7.4%
courbure		2%
cmo			-0.013 
cm 			stable de alpha = -1 a +9  (-0.0129 a -0.0137) 
			c'est ce qui donne la super stabilit en trajectoire du Miraj.
czmax 			1.0 sans volet 
			1.35 avec 10 de volet (c'est la que ca rebondi bien... gazzzz)
Marcel Guwang
