E197  (13.49%)               
   1.00000  0.00000
   0.99642  0.00050
   0.98604  0.00219
   0.96960  0.00530
   0.94778  0.00961
   0.92096  0.01478
   0.88939  0.02069
   0.85349  0.02733
   0.81384  0.03467
   0.77105  0.04254
   0.72575  0.05080
   0.67860  0.05921
   0.63028  0.06753
   0.58146  0.07543
   0.53282  0.08247
   0.48475  0.08808
   0.43735  0.09193
   0.39085  0.09396
   0.34551  0.09415
   0.30160  0.09252
   0.25933  0.08920
   0.21903  0.08444
   0.18112  0.07846
   0.14599  0.07142
   0.11402  0.06348
   0.08551  0.05481
   0.06075  0.04559
   0.03996  0.03603
   0.02335  0.02636
   0.01104  0.01686
   0.00318  0.00792
   0.00000  0.00023
   0.00279 -0.00637
   0.01164 -0.01275
   0.02555 -0.01891
   0.04438 -0.02452
   0.06797 -0.02947
   0.09610 -0.03366
   0.12852 -0.03702
   0.16493 -0.03954
   0.20495 -0.04118
   0.24818 -0.04196
   0.29413 -0.04186
   0.34231 -0.04078
   0.39236 -0.03857
   0.44415 -0.03537
   0.49723 -0.03162
   0.55091 -0.02762
   0.60447 -0.02359
   0.65718 -0.01967
   0.70834 -0.01598
   0.75725 -0.01262
   0.80323 -0.00965
   0.84564 -0.00711
   0.88388 -0.00500
   0.91738 -0.00327
   0.94572 -0.00182
   0.96864 -0.00070
   0.98572 -0.00008
   0.99637  0.00004
   1.00000  0.00000
