SB99blks Saumon BLANIK  Aerotech
1.000000    0.000827
0.981942    0.004213
0.944010    0.010434
0.904580    0.016586
0.865104    0.022406
0.825518    0.027945
0.785843    0.033272
0.746155    0.038404
0.706482    0.043298
0.666817    0.047912
0.627156    0.052203
0.587476    0.056142
0.547799    0.059709
0.508176    0.062827
0.468534    0.065437
0.428903    0.067523
0.389410    0.068982
0.350040    0.069637
0.310719    0.069387
0.271505    0.068199
0.232587    0.065909
0.193996    0.062253
0.155650    0.057111
0.117809    0.050408
0.080673    0.041896
0.045859    0.031456
0.019487    0.020040
0.007450    0.012049
0.002512    0.006795
0.000471    0.002795
0.000104   -0.000508
0.001160   -0.004222
0.004948   -0.008282
0.013647   -0.012609
0.034350   -0.018035
0.069151   -0.023039
0.107455   -0.026251
0.146666   -0.028245
0.186216   -0.029458
0.225973   -0.030115
0.265836   -0.030369
0.305868   -0.030243
0.345536   -0.029724
0.385440   -0.028869
0.425336   -0.027696
0.465216   -0.026203
0.505098   -0.024389
0.545006   -0.022289
0.584901   -0.019920
0.624834   -0.017305
0.664847   -0.014556
0.704904   -0.011672
0.744912   -0.008901
0.784846   -0.006304
0.824734   -0.003949
0.864404   -0.001970
0.903898   -0.000622
0.943624    0.000166
0.981678    0.000318
1.000000    0.000060

"gerard barreau" <gbarreau@tele2.fr> 20/12/03
