 NLR-1T AIRFOIL
1.00000 0.00104
0.96199 0.00651
0.93589 0.01020
0.90845 0.01421
0.87846 0.01901
0.84055 0.02533
0.80263 0.03140
0.76946 0.03644
0.73905 0.04017
0.71079 0.04291
0.67732 0.04524
0.63728 0.04774
0.59596 0.04992
0.55383 0.05175
0.51162 0.05323
0.46849 0.05438
0.42528 0.05518
0.38269 0.05560
0.34064 0.05565
0.29979 0.05531
0.26054 0.05459
0.22313 0.05345
0.18767 0.05188
0.15412 0.04986
0.12341 0.04741
0.09845 0.04469
0.07753 0.04098
0.05675 0.03588
0.03796 0.02972
0.02185 0.02296
0.00974 0.01524
0.00259 0.00704
0.0 0.0
0.00259 -0.00512
0.00974 -0.00867
0.02185 -0.01180
0.03796 -0.01465
0.05675 -0.01713
0.07753 -0.01929
0.09845 -0.02112
0.12341 -0.02299
0.15412 -0.02494
0.18767 -0.02671
0.22313 -0.02821
0.26054 -0.02944
0.29979 -0.03040
0.34064 -0.03104
0.38269 -0.03142
0.42528 -0.03150
0.46849 -0.03132
0.51162 -0.03080
0.55383 -0.02992
0.59596 -0.02867
0.63728 -0.02734
0.67732 -0.02580
0.71079 -0.02432
0.73905 -0.02305
0.76946 -0.02164
0.80263 -0.01996
0.84055 -0.01794
0.87846 -0.01571
0.90845 -0.01364
0.93589 -0.01087
0.96199 -0.00711
1.00000 -0.00104
