cristal  cb85_15_7     
1.00        0     
0.95     0.010714286     
0.9      0.021428571     
0.85     0.032     
0.8      0.044571429     
0.75     0.057142857     
0.7      0.071428571     
0.65     0.083714286     
0.6      0.094571429     
0.55     0.103428571     
0.5      0.108857143     
0.45     0.112285714     
0.4      0.113428571     
0.35     0.112     
0.3      0.108857143     
0.25     0.103428571     
0.2      0.094571429     
0.15     0.082     
0.1      0.067714286     
0.05     0.044571429     
0.01     0.016     
0.000000 0.000000  
 0.010000 -0.010571  
 0.050000 -0.023143  
 0.100000 -0.032286  
 0.150000 -0.035714  
 0.200000 -0.037429  
 0.250000 -0.039143  
 0.300000 -0.042000    
 0.350000 -0.042857   
 0.400000 -0.043429  
 0.450000 -0.042857  
 0.500000 -0.042000  
0.55     -0.039142857     
0.6      -0.037428571     
0.65     -0.032857143     
0.7      -0.028571429     
0.75     -0.021428571     
0.8      -0.014285714     
0.85     -0.005142857     
0.9      0.000857143     
0.95     0.003142857     
1        0

le profil du cristal je l'ai bien trouv dans une revue modliste (RCM je crois)
"COUSIN ERIC" <ericousin at oreka  . com>
