E474  (14.09%)               
   1.00000  0.00000
   0.99625  0.00028
   0.98539  0.00142
   0.96827  0.00372
   0.94558  0.00699
   0.91777  0.01106
   0.88544  0.01574
   0.84908  0.02055
   0.80874  0.02524
   0.76472  0.02993
   0.71760  0.03469
   0.66798  0.03949
   0.61647  0.04427
   0.56374  0.04895
   0.51043  0.05346
   0.45721  0.05769
   0.40474  0.06154
   0.35367  0.06489
   0.30464  0.06760
   0.25828  0.06951
   0.21517  0.07042
   0.17590  0.07002
   0.14069  0.06778
   0.10939  0.06351
   0.08193  0.05737
   0.05826  0.04958
   0.03841  0.04049
   0.02246  0.03048
   0.01054  0.01999
   0.00280  0.00955
   0.00000  0.00000
   0.00280 -0.00955
   0.01054 -0.01999
   0.02246 -0.03048
   0.03841 -0.04049
   0.05826 -0.04958
   0.08193 -0.05737
   0.10939 -0.06351
   0.14069 -0.06778
   0.17590 -0.07002
   0.21517 -0.07042
   0.25828 -0.06951
   0.30464 -0.06760
   0.35367 -0.06489
   0.40474 -0.06154
   0.45721 -0.05769
   0.51043 -0.05346
   0.56374 -0.04895
   0.61647 -0.04427
   0.66798 -0.03949
   0.71760 -0.03469
   0.76472 -0.02993
   0.80874 -0.02524
   0.84908 -0.02055
   0.88544 -0.01574
   0.91777 -0.01106
   0.94558 -0.00699
   0.96827 -0.00372
   0.98539 -0.00142
   0.99625 -0.00028
   1.00000  0.00000
