HN-452 F3B/F3F	 Norbert Habbe
1.00000	0.00000
0.99901	0.00014
0.99606	0.00060
0.99114	0.00142
0.98429	0.00262
0.97553	0.00415
0.96489	0.00597
0.95241	0.00800
0.93815	0.01018
0.92216	0.01252
0.90451	0.01504
0.88526	0.01770
0.86448	0.02049
0.84227	0.02337
0.81871	0.02632
0.79389	0.02930
0.76791	0.03227
0.74088	0.03522
0.71289	0.03812
0.68406	0.04093
0.65451	0.04364
0.62435	0.04621
0.59369	0.04861
0.56267	0.05082
0.53140	0.05281
0.50000	0.05456
0.46861	0.05604
0.43733	0.05724
0.40631	0.05812
0.37566	0.05868
0.34549	0.05890
0.31594	0.05876
0.28711	0.05826
0.25912	0.05738
0.23209	0.05612
0.20611	0.05449
0.18129	0.05249
0.15773	0.05011
0.13552	0.04739
0.11474	0.04432
0.09549	0.04093
0.07784	0.03725
0.06185	0.03331
0.04759	0.02915
0.03511	0.02480
0.02447	0.02031
0.01571	0.01580
0.00886	0.01138
0.00394	0.00704
0.00099	0.00308
0.00000	0.00000
0.00099	-0.00257
0.00394	-0.00542
0.00886	-0.00819
0.01571	-0.01078
0.02447	-0.01324
0.03511	-0.01553
0.04759	-0.01757
0.06185	-0.01938
0.07784	-0.02095
0.09549	-0.02228
0.11474	-0.02338
0.13552	-0.02424
0.15773	-0.02488
0.18129	-0.02532
0.20611	-0.02555
0.23209	-0.02560
0.25912	-0.02546
0.28711	-0.02517
0.31594	-0.02472
0.34549	-0.02412
0.37566	-0.02339
0.40631	-0.02254
0.43733	-0.02157
0.46861	-0.02049
0.50000	-0.01930
0.53140	-0.01800
0.56267	-0.01655
0.59369	-0.01496
0.62435	-0.01325
0.65451	-0.01150
0.68406	-0.00977
0.71289	-0.00809
0.74088	-0.00651
0.76791	-0.00504
0.79389	-0.00372
0.81871	-0.00254
0.84227	-0.00153
0.86448	-0.00068
0.88526	0.00000
0.90451	0.00051
0.92216	0.00085
0.93815	0.00105
0.95241	0.00111
0.96489	0.00105
0.97553	0.00091
0.98429	0.00070
0.99114	0.00046
0.99606	0.00023
0.99901	0.00006
1.00000	0.00000
