E207  (12.04%)               
   1.00000  0.00000
   0.99647  0.00045
   0.98625  0.00202
   0.97011  0.00489
   0.94870  0.00881
   0.92238  0.01337
   0.89128  0.01841
   0.85576  0.02400
   0.81633  0.03011
   0.77357  0.03666
   0.72806  0.04352
   0.68043  0.05055
   0.63132  0.05759
   0.58139  0.06441
   0.53129  0.07079
   0.48169  0.07638
   0.43306  0.08075
   0.38567  0.08362
   0.33981  0.08483
   0.29573  0.08430
   0.25363  0.08205
   0.21371  0.07819
   0.17625  0.07300
   0.14162  0.06669
   0.11018  0.05944
   0.08225  0.05143
   0.05808  0.04282
   0.03791  0.03383
   0.02189  0.02468
   0.01015  0.01565
   0.00279  0.00714
   0.00000 -0.00015
   0.00304 -0.00626
   0.01212 -0.01204
   0.02628 -0.01750
   0.04543 -0.02234
   0.06943 -0.02649
   0.09807 -0.02991
   0.13109 -0.03257
   0.16817 -0.03448
   0.20893 -0.03565
   0.25292 -0.03611
   0.29966 -0.03586
   0.34861 -0.03487
   0.39937 -0.03302
   0.45165 -0.03044
   0.50495 -0.02744
   0.55860 -0.02425
   0.61189 -0.02102
   0.66414 -0.01787
   0.71467 -0.01488
   0.76283 -0.01212
   0.80796 -0.00963
   0.84948 -0.00744
   0.88681 -0.00555
   0.91942 -0.00390
   0.94699 -0.00239
   0.96930 -0.00108
   0.98598 -0.00026
   0.99643  0.00000
   1.00000  0.00000
