NMR 13 f3f  (c)Nicolas Mathis+Marco Virgilio Ricci kipecoul.e-monsite.com/pages/profil-nmr/nmr-13-f3f.html
 1.00000     0.00026
 0.99017     0.00134
 0.96822     0.00384
 0.94534     0.00644
 0.92201     0.00909
 0.89871     0.01177
 0.87526     0.01451
 0.85175     0.01725
 0.82825     0.01997
 0.80479     0.02264
 0.78135     0.02525
 0.75796     0.02779
 0.73452     0.03027
 0.71108     0.03268
 0.68769     0.03501
 0.66429     0.03727
 0.64090     0.03942
 0.61746     0.04149
 0.59408     0.04346
 0.57067     0.04532
 0.54735     0.04707
 0.52401     0.04866
 0.50062     0.05015
 0.47728     0.05148
 0.45388     0.05268
 0.43052     0.05373
 0.40719     0.05462
 0.38383     0.05534
 0.36049     0.05587
 0.33718     0.05621
 0.31393     0.05634
 0.29071     0.05623
 0.26757     0.05586
 0.24440     0.05520
 0.22133     0.05424
 0.19841     0.05292
 0.17551     0.05121
 0.15288     0.04908
 0.13050     0.04643
 0.10845     0.04320
 0.08692     0.03929
 0.06603     0.03457
 0.04622     0.02896
 0.02867     0.02256
 0.01580     0.01629
 0.00804     0.01115
 0.00378     0.00730
 0.00137     0.00419
 0.00021     0.00157
 0.00021    -0.00092
 0.00157    -0.00328
 0.00439    -0.00554
 0.00916    -0.00793
 0.01775    -0.01088
 0.03231    -0.01416
 0.05193    -0.01704
 0.07366    -0.01918
 0.09609    -0.02070
 0.11900    -0.02175
 0.14215    -0.02247
 0.16540    -0.02291
 0.18881    -0.02314
 0.21224    -0.02320
 0.23575    -0.02310
 0.25929    -0.02289
 0.28284    -0.02256
 0.30644    -0.02216
 0.33001    -0.02168
 0.35364    -0.02113
 0.37730    -0.02053
 0.40088    -0.01988
 0.42453    -0.01918
 0.44816    -0.01846
 0.47176    -0.01769
 0.49535    -0.01691
 0.51896    -0.01609
 0.54261    -0.01524
 0.56626    -0.01435
 0.58992    -0.01344
 0.61357    -0.01251
 0.63722    -0.01157
 0.66087    -0.01062
 0.68455    -0.00966
 0.70825    -0.00871
 0.73195    -0.00777
 0.75565    -0.00685
 0.77934    -0.00595
 0.80300    -0.00507
 0.82664    -0.00423
 0.85030    -0.00345
 0.87396    -0.00271
 0.89764    -0.00203
 0.92122    -0.00143
 0.94485    -0.00092
 0.96789    -0.00053
 0.99006    -0.00028
 1.00000    -0.00019

http://kipecoul.e-monsite.com/pages/profil-nmr/nmr-13-f3f.html
