HN-1069a	Planeur>3.5m  Norbert Habbe
1.00000	0.00000
0.99901	0.00016
0.99606	0.00070
0.99114	0.00159
0.98429	0.00289
0.97553	0.00463
0.96489	0.00674
0.95241	0.00914
0.93815	0.01181
0.92216	0.01473
0.90451	0.01791
0.88526	0.02134
0.86448	0.02496
0.84227	0.02874
0.81871	0.03263
0.79389	0.03659
0.76791	0.04057
0.74088	0.04453
0.71289	0.04844
0.68406	0.05225
0.65451	0.05592
0.62435	0.05943
0.59369	0.06271
0.56267	0.06575
0.53140	0.06849
0.50000	0.07091
0.46861	0.07299
0.43733	0.07468
0.40631	0.07599
0.37566	0.07687
0.34549	0.07731
0.31594	0.07730
0.28711	0.07683
0.25912	0.07587
0.23209	0.07444
0.20611	0.07251
0.18129	0.07010
0.15773	0.06719
0.13552	0.06382
0.11474	0.05997
0.09549	0.05568
0.07784	0.05096
0.06185	0.04584
0.04759	0.04037
0.03511	0.03458
0.02447	0.02853
0.01571	0.02237
0.00886	0.01625
0.00394	0.01022
0.00099	0.00464
0.00000	0.00000
0.00099	-0.00415
0.00394	-0.00874
0.00886	-0.01331
0.01571	-0.01765
0.02447	-0.02181
0.03511	-0.02568
0.04759	-0.02917
0.06185	-0.03229
0.07784	-0.03502
0.09549	-0.03737
0.11474	-0.03934
0.13552	-0.04093
0.15773	-0.04216
0.18129	-0.04305
0.20611	-0.04358
0.23209	-0.04380
0.25912	-0.04370
0.28711	-0.04332
0.31594	-0.04266
0.34549	-0.04174
0.37566	-0.04059
0.40631	-0.03922
0.43733	-0.03765
0.46861	-0.03590
0.50000	-0.03397
0.53140	-0.03190
0.56267	-0.02967
0.59369	-0.02732
0.62435	-0.02487
0.65451	-0.02238
0.68406	-0.01990
0.71289	-0.01745
0.74088	-0.01509
0.76791	-0.01284
0.79389	-0.01072
0.81871	-0.00877
0.84227	-0.00699
0.86448	-0.00540
0.88526	-0.00402
0.90451	-0.00284
0.92216	-0.00189
0.93815	-0.00120
0.95241	-0.00066
0.96489	-0.00028
0.97553	-0.00005
0.98429	0.00008
0.99114	0.00010
0.99606	0.00008
0.99901	0.00004
1.00000	0.00000
