N+3 T120
    -2.000000    3.000000   -2.500000    3.500000
    1.000000      0.4936511E-03
   0.9916390      0.1662719E-02
   0.9802755      0.3240121E-02
   0.9671078      0.5037732E-02
   0.9524630      0.7005211E-02
   0.9368338      0.9091990E-02
   0.9206892      0.1127842E-01
   0.9042711      0.1355229E-01
   0.8876800      0.1589572E-01
   0.8709641      0.1829018E-01
   0.8541653      0.2071442E-01
   0.8373487      0.2314286E-01
   0.8205795      0.2554974E-01
   0.8038854      0.2791610E-01
   0.7872714      0.3022749E-01
   0.7707314      0.3247286E-01
   0.7542540      0.3464361E-01
   0.7378249      0.3673360E-01
   0.7214305      0.3873907E-01
   0.7050601      0.4065730E-01
   0.6887050      0.4248642E-01
   0.6723589      0.4422507E-01
   0.6560168      0.4587213E-01
   0.6396745      0.4742705E-01
   0.6233290      0.4888949E-01
   0.6069779      0.5025928E-01
   0.5906190      0.5153668E-01
   0.5742513      0.5272197E-01
   0.5578738      0.5381552E-01
   0.5414858      0.5481801E-01
   0.5250875      0.5572998E-01
   0.5086787      0.5655198E-01
   0.4922598      0.5728484E-01
   0.4758318      0.5792912E-01
   0.4593952      0.5848541E-01
   0.4429513      0.5895441E-01
   0.4265021      0.5933647E-01
   0.4100492      0.5963190E-01
   0.3935949      0.5984098E-01
   0.3771426      0.5996351E-01
   0.3606949      0.5999917E-01
   0.3442563      0.5994746E-01
   0.3278316      0.5980717E-01
   0.3114258      0.5957694E-01
   0.2950462      0.5925484E-01
   0.2787002      0.5883813E-01
   0.2623971      0.5832380E-01
   0.2461486      0.5770780E-01
   0.2299684      0.5698542E-01
   0.2138758      0.5615151E-01
   0.1978963      0.5519965E-01
   0.1820650      0.5412290E-01
   0.1664309      0.5291322E-01
   0.1510607      0.5156268E-01
   0.1360474      0.5006470E-01
   0.1215175      0.4841705E-01
   0.1076342      0.4662139E-01
   0.9456861E-01  0.4467959E-01
   0.8247291E-01  0.4260470E-01
   0.7146559E-01  0.4042564E-01
   0.6161374E-01  0.3818745E-01
   0.5292304E-01  0.3593975E-01
   0.4533500E-01  0.3372133E-01
   0.3874409E-01  0.3155521E-01
   0.3302399E-01  0.2944992E-01
   0.2804903E-01  0.2740434E-01
   0.2370656E-01  0.2541207E-01
   0.1990133E-01  0.2346449E-01
   0.1655531E-01  0.2155308E-01
   0.1360626E-01  0.1966964E-01
   0.1100642E-01  0.1780478E-01
   0.8720835E-02  0.1594772E-01
   0.6724987E-02  0.1408808E-01
   0.5002303E-02  0.1221823E-01
   0.3542243E-02  0.1033450E-01
   0.2339182E-02  0.8437528E-02
   0.1390451E-02  0.6532331E-02
   0.6938685E-03  0.4630251E-02
   0.2427913E-03  0.2744654E-02
   0.2634660E-04  0.9000480E-03
   0.2634425E-04 -0.9000481E-03
   0.2427841E-03 -0.2744655E-02
   0.6938565E-03 -0.4630253E-02
   0.1390433E-02 -0.6532335E-02
   0.2339160E-02 -0.8437534E-02
   0.3542216E-02 -0.1033451E-01
   0.5002271E-02 -0.1221825E-01
   0.6724950E-02 -0.1408810E-01
   0.8720793E-02 -0.1594774E-01
   0.1100637E-01 -0.1780481E-01
   0.1360620E-01 -0.1966967E-01
   0.1655525E-01 -0.2155312E-01
   0.1990127E-01 -0.2346454E-01
   0.2370650E-01 -0.2541213E-01
   0.2804896E-01 -0.2740441E-01
   0.3302391E-01 -0.2945001E-01
   0.3874401E-01 -0.3155532E-01
   0.4533491E-01 -0.3372144E-01
   0.5292294E-01 -0.3593989E-01
   0.6161364E-01 -0.3818761E-01
   0.7146549E-01 -0.4042583E-01
   0.8247279E-01 -0.4260491E-01
