NM SPatz SAUMON  50% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/profil-avec-extrados-et-intrados-plat.html
 1.00000     0.00753
 0.90561     0.01857
 0.82232     0.02837
 0.74776     0.03706
 0.68097     0.04477
 0.62096     0.05163
 0.56678     0.05776
 0.51746     0.06331
 0.47206     0.06837
 0.42997     0.07294
 0.39077     0.07694
 0.35401     0.08029
 0.31926     0.08290
 0.28607     0.08470
 0.25402     0.08560
 0.22267     0.08553
 0.19203     0.08445
 0.16250     0.08234
 0.13449     0.07920
 0.10843     0.07502
 0.08473     0.06980
 0.06381     0.06352
 0.04610     0.05619
 0.03178     0.04792
 0.02057     0.03908
 0.01215     0.03006
 0.00621     0.02125
 0.00242     0.01304
 0.00046     0.00583
 0.00000     0.00000
 0.00086    -0.00366
 0.00251    -0.00783
 0.00542    -0.01230
 0.01000    -0.01686
 0.01671    -0.02131
 0.02598    -0.02544
 0.03825    -0.02904
 0.05391    -0.03193
 0.07280    -0.03410
 0.09452    -0.03561
 0.11862    -0.03654
 0.14471    -0.03698
 0.17236    -0.03698
 0.20115    -0.03664
 0.23067    -0.03602
 0.26089    -0.03517
 0.29213    -0.03409
 0.32475    -0.03279
 0.35909    -0.03128
 0.39548    -0.02956
 0.43429    -0.02763
 0.47585    -0.02551
 0.52115    -0.02318
 0.57240    -0.02054
 0.63194    -0.01753
 0.70213    -0.01405
 0.78530    -0.01003
 0.88381    -0.00537
 1.00000     0.00000

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/profil-avec-extrados-et-intrados-plat.html
Modif 0.99859 -> 1.00000
